Recognized ABC Sieve file:
ABC File
Switching to Exponentiating using GMP
(394^10-1)^2-2 is composite: RES64: [A8E013BC9F449E45] (0.0001s+0.0010s)
(394^20+1)^2-2 is composite: RES64: [3F19319275D18227] (0.0002s+0.0002s)
(394^23+1)^2-2 is composite: RES64: [E4F147F07693EBD6] (0.0003s+0.0004s)
(394^27+1)^2-2 is composite: RES64: [B94DCC6FC564E3D7] (0.0005s+0.0002s)
(394^28-1)^2-2 is composite: RES64: [0860AFAFF63D40D5] (0.0006s+0.0002s)
(394^33+1)^2-2 is composite: RES64: [82DD0C3A1528F345] (0.0008s+0.0002s)
(394^33-1)^2-2 is composite: RES64: [3AE24BDCAD122C0A] (0.0011s+0.0002s)
Switching to Exponentiating using Woltman FFT's
(394^49-1)^2-2 is composite: RES64: [BF86D1748536EFE6] (0.0234s+0.0003s)
(394^50+1)^2-2 is composite: RES64: [FFD4669AFDB4E64E] (0.0037s+0.0002s)
(394^55-1)^2-2 is composite: RES64: [07E9F7294DD92AF1] (0.0034s+0.0002s)
(394^57+1)^2-2 is composite: RES64: [D306B2F5D9657DA1] (0.0036s+0.0002s)
(394^60+1)^2-2 is composite: RES64: [CDA109996E054D16] (0.0040s+0.0002s)
(394^65+1)^2-2 is composite: RES64: [97C7B18996E6BE34] (0.0055s+0.0005s)
(394^68+1)^2-2 is composite: RES64: [30F49D3807905035] (0.0070s+0.0005s)
(394^70-1)^2-2 is composite: RES64: [2698CCC11AE7932F] (0.0070s+0.0006s)
(394^79-1)^2-2 is composite: RES64: [AECB0512BD7E6876] (0.0084s+0.0007s)
(394^84+1)^2-2 is composite: RES64: [DE635EF18CC3354D] (0.0092s+0.0005s)
(394^87+1)^2-2 is composite: RES64: [21AE23FE2DE82421] (0.0104s+0.0005s)
(394^90-1)^2-2 is composite: RES64: [E0A0193550EEC591] (0.0105s+0.0008s)
(394^93+1)^2-2 is composite: RES64: [4F2E9EB2B7B172A8] (0.0126s+0.0023s)
(394^98+1)^2-2 is composite: RES64: [64FB6E6B4497F783] (0.0114s+0.0043s)
