1,1
2,3
3,6
4,2
5,7
6,11
7,18
8,10
9,19
X,E
E,1X
10,X
11,1E
12,9
13,20
14,8
15,21
16,37
17,52
18,36
19,53
1X,35
1E,16
20,36
21,15
22,37
23,14
24,38
25,13
26,39
27,12
28,3X
29,67
2X,95
2E,66
30,96
31,65
32,33
33,66
34,32
35,67
36,31
37,68
38,30
39,69
3X,2E
3E,6X
40,2X
41,6E
42,29
43,70
44,28
45,71
46,27
47,72
48,26
49,73
4X,25
4E,74
50,24
51,75
52,23
53,76
54,22
55,77
56,111
57,168
58,110
59,169
5X,10E
5E,16X
60,10X
61,16E
62,109
63,170
64,108
65,63
66,109
67,62
68,10X
69,61
6X,10E
6E,60
70,110
71,5E
72,111
73,5X
74,112
75,59
76,113
77,58
78,114
79,57
7X,115
7E,56
80,116
81,55
82,117
83,54
84,118
85,1X1
86,267
87,1X0
88,268
89,19E
8X,269
8E,19X
90,26X
91,199
92,107
93,34
94,108
95,1X1
96,277
97,352
98,276
99,353
9X,275
9E,196
X0,E6
X1,197
X2,E5
X3,198
X4,E4
X5,199
X6,E3
X7,19X
X8,E2
X9,5
XX,E3
XE,4
E0,E4
E1,1X5
E2,297
E3,1X4
E4,E0
E5,1X5
E6,XE
E7,1X6
E8,XX
E9,1X7
EX,X9
EE,1X8
100,X8
101,1X9
102,X7
103,1XX
104,X6
105,1XE
106,X5
107,1E0
108,X4
109,1E1
10X,X3
10E,1E2
110,X2
111,1E3
112,X1
113,1E4
114,X0
115,1E5
116,9E
117,1E6
118,9X
119,1E7
11X,99
11E,1E8
120,98
121,1E9
122,97
123,1EX
124,322
125,447
126,321
127,448
128,320
129,449
12X,31E
12E,44X
130,31X
131,44E
132,319
133,450
134,318
135,1X3
136,319
137,1X2
138,31X
139,457
13X,595
13E,456
140,316
141,195
142,317
143,194
144,50
145,195
146,4E
147,196
148,4X
149,197
14X,49
14E,198
150,48
151,199
152,47
153,19X
154,46
155,19E
156,45
157,1X0
158,44
159,1X1
15X,43
15E,1X2
160,42
161,1X3
162,41
163,1X4
164,40
165,1X5
166,3E
167,1X6
168,352
169,4EE
16X,351
16E,500
170,350
171,501
172,34E
173,502
174,34X
175,503
176,349
177,192
178,34X
179,191
17X,34E
17E,190
180,350
181,18E
182,351
