1,3,1
2,2,1
25,22,20
37,61,36
44,25,20
68,85,32
75,59,40
82,61,40
99,63,60
115,268,88
119,148,96
125,127,100
128,102,64
159,189,104
162,93,54
179,304,178
183,156,120
188,96,92
203,294,168
213,206,140
216,88,72
229,606,228
233,602,232
243,209,162
277,338,276
289,315,272
292,196,144
301,349,252
309,209,204
316,182,156
323,399,288
329,304,276
362,289,180
376,210,184
391,390,352
397,463,396
421,808,420
423,587,276
427,657,360
432,196,144
435,316,224
438,247,144
442,201,192
443,793,442
444,183,144
459,690,288
466,489,232
473,425,420
484,354,220
491,514,490
494,421,216
501,393,332
506,246,220
510,156,128
512,278,256
534,211,176
545,2706,432
553,1401,468
601,2061,600
629,968,576
640,373,256
641,1267,640
644,336,264
646,1039,288
664,361,328
676,325,312
682,535,300
698,460,348
713,1134,660
715,890,480
727,1004,726
736,408,352
741,970,432
765,581,384
767,906,696
773,1276,772
776,730,384
783,1612,504
796,425,396
809,818,808
812,521,336
813,922,540
822,326,272
840,450,192
843,884,560
847,1572,660
852,346,280
858,387,240
863,1539,862
867,1016,544
880,375,320
882,912,252
888,310,288
893,1142,828
913,829,820
916,496,456
923,1050,840
938,613,396
943,2042,880
948,406,312
964,1214,480
965,893,768
970,437,384
972,342,324
976,855,480
977,1625,976
1010,402,400
1033,1124,1032
1036,1271,432
1040,402,384
1041,720,692
1046,718,522
1051,1231,1050
1063,1508,1062
1096,648,544
1110,345,288
1121,2302,1044
1123,1525,1122
1129,3771,1128
1149,765,764
1156,553,544
1164,454,384
1173,720,704
1210,929,440
1211,1710,1032
1214,621,606
1236,604,408
1245,686,656
1271,1852,1200
1290,362,336
1299,1158,864
1306,803,652
1308,739,432
1309,1330,960
1310,763,520
1313,1952,1200
1318,1509,658
1343,2505,1248
1344,693,384
1350,549,360
1352,882,624
1370,1137,544
1383,2210,920
1388,862,692
1393,2238,1188
1398,901,464
1405,1568,1120
1407,908,792
1410,734,368
1427,2118,1426
1443,1216,864
1446,602,480
1451,5047,1450
1469,2906,1344
1476,876,480
1481,6288,1480
1486,964,742
1488,2707,480
1492,1547,744
1495,2047,1056
1506,691,500
1510,707,600
1522,1492,760
1547,1314,1152
1553,1966,1552
1565,4994,1248
1586,1382,720
1589,1572,1356
1593,1232,1044
1596,557,432
1607,1962,1606
1636,1777,816
1657,2070,1656
1664,972,768
1679,2326,1584
1700,1163,640
1702,814,792
1703,1598,1560
1722,671,480
1724,3178,860
1729,1554,1296
1730,852,688
1738,1108,780
1742,995,792
1745,3186,1392
1786,1281,828
1811,3615,1810
1814,2631,906
1823,2749,1822
1827,2070,1008
1840,794,704
1846,1206,840
1847,6298,1846
1857,1831,1236
1859,4034,1560
1879,2614,1878
1903,1772,1720
1906,1759,952
1910,1135,760
1915,2762,1528
1927,3057,1840
1931,4223,1930
1932,561,528
1935,1172,1008
1938,587,576
1952,2189,960
1954,1321,976
1973,6162,1972
1978,943,924
1979,2161,1978
1987,7631,1986
1996,1440,996
2002,829,720
2017,2271,2016
2024,1208,880
2026,1808,1012
2028,2661,624
2031,1716,1352
2038,1801,1018
2041,4118,1872
2042,1051,1020
2068,1077,920
2069,3748,2068
2071,2216,1944
2074,1447,960
2079,2513,1080
2112,1013,640
2113,5897,2112
2114,980,900
2120,1141,832
2128,1959,864
2140,872,848
2145,1109,960
2162,1341,1012
2167,3709,1960
2168,1733,1080
2169,2508,1440
2191,2412,1872
2197,2459,2028
2211,1717,1320
2223,3068,1296
2236,1246,1008
2254,981,924
2273,2332,2272
2283,3812,1520
2286,1492,756
2292,920,760
2293,2753,2292
2294,1398,1080
2301,2757,1392
2305,1919,1840
2321,2718,2100
2323,3602,2200
2327,2295,2136
2334,2057,776
2339,5367,2338
2357,2538,2356
2359,4663,2016
2375,2013,1800
2379,2539,1440
2383,3567,2382
2399,3984,2398
2410,1104,960
2411,3197,2410
2422,1266,1032
2424,1385,800
2426,1511,1212
2435,2365,1944
2453,2566,2220
2459,3130,2458
2465,3933,1792
2480,1219,960
2492,1444,1056
2496,1291,768
