[2, 1]: 5
[3, 1]: 7
[3, 2]: 5
[5, 1]: 11
[5, 2]: 9
[5, 4]: 3
[7, 1]: 15
[7, 2]: 13
[7, 3]: 4
[7, 6]: 5
[11, 1]: 23
[11, 2]: 21
[11, 5]: 3
[11, 10]: 6
[13, 1]: 27
[13, 2]: 25
[13, 3]: 9
[13, 4]: 5
[13, 6]: 10
[13, 12]: 6
[17, 1]: 35
[17, 2]: 33
[17, 4]: 30
[17, 8]: 8
[17, 16]: 6
[19, 1]: 39
[19, 2]: 37
[19, 3]: 7
[19, 6]: 8
[19, 9]: 5
[19, 18]: 2
[23, 1]: 47
[23, 2]: 45
[23, 11]: 2
[23, 22]: 7
[29, 1]: 59
[29, 2]: 57
[29, 4]: 12
[29, 7]: 7
[29, 14]: 4
[29, 28]: 2
[31, 1]: 63
[31, 2]: 61
[31, 3]: 36
[31, 5]: 4
[31, 6]: 37
[31, 10]: 15
[31, 15]: 7
[31, 30]: 3
[37, 1]: 75
[37, 2]: 73
[37, 3]: 10
[37, 4]: 80
[37, 6]: 11
[37, 9]: 12
[37, 12]: 8
[37, 18]: 3
[37, 36]: 2
[41, 1]: 83
[41, 2]: 81
[41, 4]: 9
[41, 5]: 10
[41, 8]: 3
[41, 10]: 4
[41, 20]: 2
[41, 40]: 6
[43, 1]: 87
[43, 2]: 85
[43, 3]: 36
[43, 6]: 37
[43, 7]: 4
[43, 14]: 8
[43, 21]: 15
[43, 42]: 34
[47, 1]: 95
[47, 2]: 93
[47, 23]: 2
[47, 46]: 5
[53, 1]: 107
[53, 2]: 105
[53, 4]: 30
[53, 13]: 28
[53, 26]: 7
[53, 52]: 3
[59, 1]: 119
[59, 2]: 117
[59, 29]: 15
[59, 58]: 2
[61, 1]: 123
[61, 2]: 121
[61, 3]: 13
[61, 4]: 11
[61, 5]: 34
[61, 6]: 14
[61, 10]: 163
[61, 12]: 21
[61, 15]: 15
[61, 20]: 24
[61, 30]: 4
[61, 60]: 2
[67, 1]: 135
[67, 2]: 133
[67, 3]: 29
[67, 6]: 30
[67, 11]: 76
[67, 22]: 3
[67, 33]: 6
[67, 66]: 2
[71, 1]: 143
[71, 2]: 141
[71, 5]: 5
[71, 7]: 37
[71, 10]: 188
[71, 14]: 110
[71, 35]: 2
[71, 70]: 56
[73, 1]: 147
[73, 2]: 145
[73, 3]: 210
[73, 4]: 46
[73, 6]: 211
[73, 8]: 10
[73, 9]: 77
[73, 12]: 70
[73, 18]: 18
[73, 24]: 21
[73, 36]: 12
[73, 72]: 14
[79, 1]: 159
[79, 2]: 157
[79, 3]: 23
[79, 6]: 24
[79, 13]: 143
[79, 26]: 15
[79, 39]: 2
[79, 78]: 29
[83, 1]: 167
[83, 2]: 165
[83, 41]: 77
[83, 82]: 2
[89, 1]: 179
[89, 2]: 177
[89, 4]: 34
[89, 8]: 12
[89, 11]: 2
[89, 22]: 22
[89, 44]: 5
[89, 88]: 6
[97, 1]: 195
[97, 2]: 193
[97, 3]: 35
[97, 4]: 22
[97, 6]: 36
[97, 8]: 50
[97, 12]: 6
[97, 16]: 18
[97, 24]: 4
[97, 32]: 20
[97, 48]: 2
[97, 96]: 5
[101, 1]: 203
[101, 2]: 201
[101, 4]: 414
[101, 5]: 84
[101, 10]: 6
[101, 20]: 161
[101, 25]: 58
[101, 50]: 20
[101, 100]: 194
[103, 1]: 207
[103, 2]: 205
[103, 3]: 56
[103, 6]: 57
[103, 17]: 14
[103, 34]: 31
[103, 51]: 50
[103, 102]: 21
[107, 1]: 215
[107, 2]: 213
[107, 53]: 52
[107, 106]: 2
[109, 1]: 219
[109, 2]: 217
[109, 3]: 45
[109, 4]: 76
[109, 6]: 46
[109, 9]: 147
[109, 12]: 8
[109, 18]: 4
[109, 27]: 375
[109, 36]: 2
[109, 54]: 238
[109, 108]: 53
[113, 1]: 227
[113, 2]: 225
[113, 4]: 15
[113, 7]: 28
[113, 8]: 18
[113, 14]: 4
[113, 16]: 42
[113, 28]: 2
[113, 56]: 13
[113, 112]: 45
[127, 1]: 255
[127, 2]: 253
[127, 3]: 19
[127, 6]: 20
[127, 7]: 4
[127, 9]: 68
[127, 14]: 95
[127, 18]: 532
[127, 21]: 61
[127, 42]: 207
[127, 63]: 148
[127, 126]: 14
[131, 1]: 263
[131, 2]: 261
[131, 5]: 189
[131, 10]: 42
[131, 13]: 60
[131, 26]: 92
[131, 65]: 11
[131, 130]: 6
[137, 1]: 275
[137, 2]: 273
[137, 4]: 100
[137, 8]: 10
[137, 17]: 88
[137, 34]: 14
[137, 68]: 118
[137, 136]: 54
[139, 1]: 279
[139, 2]: 277
[139, 3]: 42
[139, 6]: 43
[139, 23]: 45
[139, 46]: 103
[139, 69]: 29
[139, 138]: 2
[149, 1]: 299
[149, 2]: 297
[149, 4]: 44
[149, 37]: 96
[149, 74]: 7
[149, 148]: 40
[151, 1]: 303
[151, 2]: 301
[151, 3]: 32
[151, 5]: 8
[151, 6]: 33
[151, 10]: 87
[151, 15]: 4
[151, 25]: 242
[151, 30]: 23
[151, 50]: 3
[151, 75]: 40
[151, 150]: 104
[157, 1]: 315
[157, 2]: 313
[157, 3]: 483
[157, 4]: 28
[157, 6]: 484
[157, 12]: 22
[157, 13]: 75
[157, 26]: 49
[157, 39]: 17
[157, 52]: 7
[157, 78]: 462
[157, 156]: 152
[163, 1]: 327
[163, 2]: 325
[163, 3]: 104
[163, 6]: 105
[163, 9]: 140
[163, 18]: 123
[163, 27]: 6
[163, 54]: 37
[163, 81]: 15
[163, 162]: 19
[167, 1]: 335
[167, 2]: 333
[167, 83]: 2
[167, 166]: 26
[173, 1]: 347
[173, 2]: 345
[173, 4]: 80
[173, 43]: 14
[173, 86]: 31
[173, 172]: 44
[179, 1]: 359
[179, 2]: 357
[179, 89]: 61
[179, 178]: 6
[181, 1]: 363
[181, 2]: 361
[181, 3]: 48
[181, 4]: 19
[181, 5]: 404
[181, 6]: 49
[181, 9]: 39
[181, 10]: 56
[181, 12]: 7
[181, 15]: 5
[181, 18]: 463
[181, 20]: 31
[181, 30]: 429
[181, 36]: 423
[181, 45]: 13
[181, 60]: 413
[181, 90]: 55
[181, 180]: 53
[191, 1]: 383
[191, 2]: 381
[191, 5]: 230
[191, 10]: 7
[191, 19]: 6
[191, 38]: 31
[191, 95]: 3
[191, 190]: 305
[193, 1]: 387
[193, 2]: 385
[193, 3]: 84
[193, 4]: 274
[193, 6]: 85
[193, 8]: 184
[193, 12]: 130
[193, 16]: 50
[193, 24]: 12
[193, 32]: 14
[193, 48]: 4
[193, 64]: 60
[193, 96]: 2
[193, 192]: 488
[197, 1]: 395
[197, 2]: 393
[197, 4]: 380
[197, 7]: 104
[197, 14]: 19
[197, 28]: 129
[197, 49]: 23
[197, 98]: 10
[197, 196]: 31
[199, 1]: 399
[199, 2]: 397
[199, 3]: 92
[199, 6]: 93
[199, 9]: 573
[199, 11]: 139
[199, 18]: 19
[199, 22]: 277
[199, 33]: 5
[199, 66]: 55
[199, 99]: 213
[199, 198]: 69
[211, 1]: 423
[211, 2]: 421
[211, 3]: 225
[211, 5]: 55
[211, 6]: 226
[211, 7]: 58
[211, 10]: 737
[211, 14]: 12
[211, 15]: 556
[211, 21]: 34
[211, 30]: 221
[211, 35]: 11
[211, 42]: 379
[211, 70]: 89
[211, 105]: 30
[211, 210]: 22
[223, 1]: 447
[223, 2]: 445
[223, 3]: 39
[223, 6]: 40
[223, 37]: 2
[223, 74]: 108
[223, 111]: 29
[223, 222]: 44
[227, 1]: 455
[227, 2]: 453
[227, 113]: 7
[227, 226]: 41
[229, 1]: 459
[229, 2]: 457
[229, 3]: 134
[229, 4]: 794
[229, 6]: 135
[229, 12]: 18
[229, 19]: 61
[229, 38]: 26
[229, 57]: 51
[229, 76]: 88
[229, 114]: 5
[229, 228]: 7
[233, 1]: 467
[233, 2]: 465
[233, 4]: 144
[233, 8]: 12
[233, 29]: 92
[233, 58]: 374
[233, 116]: 259
[233, 232]: 82
[239, 1]: 479
[239, 2]: 477
[239, 7]: 10
[239, 14]: 141
[239, 17]: 261
[239, 34]: 107
[239, 119]: 85
[239, 238]: 35
[241, 1]: 483
[241, 2]: 481
[241, 3]: 225
[241, 4]: 64
[241, 5]: 205
[241, 6]: 226
[241, 8]: 8
[241, 10]: 36
[241, 12]: 181
[241, 15]: 160
[241, 16]: 1572
[241, 20]: 6
[241, 24]: 32
[241, 30]: 122
[241, 40]: 5
[241, 48]: 152
[241, 60]: 144
[241, 80]: 73
[241, 120]: 12
[241, 240]: 68
[251, 1]: 503
[251, 2]: 501
[251, 5]: 615
[251, 10]: 32
[251, 25]: 822
[251, 50]: 2
[251, 125]: 108
[251, 250]: 26
[257, 1]: 515
[257, 2]: 513
[257, 4]: 530
[257, 8]: 1024
[257, 16]: 32
[257, 32]: 1508
[257, 64]: 352
[257, 128]: 144
[257, 256]: 12
[263, 1]: 527
[263, 2]: 525
[263, 131]: 2
[263, 262]: 5
[269, 1]: 539
[269, 2]: 537
[269, 4]: 456
[269, 67]: 57
[269, 134]: 149
[269, 268]: 46
[271, 1]: 543
[271, 2]: 541
[271, 3]: 28
[271, 5]: 10
[271, 6]: 29
[271, 9]: 258
[271, 10]: 355
[271, 15]: 87
[271, 18]: 1920
[271, 27]: 303
[271, 30]: 3
[271, 45]: 185
[271, 54]: 115
[271, 90]: 263
[271, 135]: 11
[271, 270]: 91
[277, 1]: 555
[277, 2]: 553
[277, 3]: 437
[277, 4]: 60
[277, 6]: 438
[277, 12]: 35
[277, 23]: 293
[277, 46]: 341
[277, 69]: 3
[277, 92]: 539
[277, 138]: 186
[277, 276]: 77
[281, 1]: 563
[281, 2]: 561
[281, 4]: 334
[281, 5]: 90
[281, 7]: 462
[281, 8]: 754
[281, 10]: 191
[281, 14]: 313
[281, 20]: 219
[281, 28]: 34
[281, 35]: 162
[281, 40]: 410
[281, 56]: 73
[281, 70]: 2
[281, 140]: 5
[281, 280]: 97
[283, 1]: 567
[283, 2]: 565
[283, 3]: 44
[283, 6]: 45
[283, 47]: 54
[283, 94]: 2
[283, 141]: 554
[283, 282]: 541
[293, 1]: 587
[293, 2]: 585
[293, 4]: 724
[293, 73]: 232
[293, 146]: 132
[293, 292]: 129
[307, 1]: 615
[307, 2]: 613
[307, 3]: 903
[307, 6]: 904
[307, 9]: 581
[307, 17]: 304
[307, 18]: 828
[307, 34]: 72
[307, 51]: 103
[307, 102]: 163
[307, 153]: 37
[307, 306]: 263
[311, 1]: 623
[311, 2]: 621
[311, 5]: 6
[311, 10]: 3205
[311, 31]: 15
[311, 62]: 222
[311, 155]: 134
[311, 310]: 93
[313, 1]: 627
[313, 2]: 625
[313, 3]: 98
[313, 4]: 25
[313, 6]: 99
[313, 8]: 5
[313, 12]: 342
[313, 13]: 58
[313, 24]: 356
[313, 26]: 1538
[313, 39]: 301
[313, 52]: 97
[313, 78]: 734
[313, 104]: 23
[313, 156]: 385
[313, 312]: 46
[317, 1]: 635
[317, 2]: 633
[317, 4]: 114
[317, 79]: 63
[317, 158]: 136
[317, 316]: 13
[331, 1]: 663
[331, 2]: 661
[331, 3]: 31
[331, 5]: 150
[331, 6]: 32
[331, 10]: 8
[331, 11]: 74
[331, 15]: 4
[331, 22]: 1250
[331, 30]: 315
[331, 33]: 318
[331, 55]: 316
[331, 66]: 47
[331, 110]: 188
[331, 165]: 94
[331, 330]: 322
[337, 1]: 675
[337, 2]: 673
[337, 3]: 465
[337, 4]: 526
[337, 6]: 466
[337, 7]: 849
[337, 8]: 226
[337, 12]: 454
[337, 14]: 162
[337, 16]: 820
[337, 21]: 2
[337, 24]: 156
[337, 28]: 150
[337, 42]: 21
[337, 48]: 299
[337, 56]: 39
[337, 84]: 263
[337, 112]: 35
[337, 168]: 334
[337, 336]: 67
[347, 1]: 695
[347, 2]: 693
[347, 173]: 250
[347, 346]: 6
[349, 1]: 699
[349, 2]: 697
[349, 3]: 122
[349, 4]: 136
[349, 6]: 123
[349, 12]: 373
[349, 29]: 274
[349, 58]: 36
[349, 87]: 620
[349, 116]: 6
[349, 174]: 56
[349, 348]: 154
[353, 1]: 707
[353, 2]: 705
[353, 4]: 42
[353, 8]: 116
[353, 11]: 1276
[353, 16]: 60
[353, 22]: 16
[353, 32]: 1706
[353, 44]: 4
[353, 88]: 2
[353, 176]: 38
[353, 352]: 302
[359, 1]: 719
[359, 2]: 717
[359, 179]: 127
[359, 358]: 280
[367, 1]: 735
[367, 2]: 733
[367, 3]: 83
[367, 6]: 84
[367, 61]: 52
[367, 122]: 3
[367, 183]: 82
[367, 366]: 301
[373, 1]: 747
[373, 2]: 745
[373, 3]: 461
[373, 4]: 104
[373, 6]: 462
[373, 12]: 69
