2,39565
3,2029E39E01X
4,32759
5,78702
6,84X58
7,15E77XXX7X70
8,3E
9,1434
X,5387
E,X42
10,375
11,E0
12,4
13,X292X07695290
14,32759
15,1E2
16,292
17,30X986
18,8
19,6E6
1X,3X5X
1E,132
20,158X3
21,107EX6
22,165
23,38X
24,2776
25,4
26,603
27,2168X40
28,X
29,10X6
2X,6
2E,X3X2X
30,1112
31,1610
32,12
33,80186
34,33X351
35,8
36,78X4
37,1380
38,4
39,26E42
3X,8814
3E,8
40,857
41,1854
42,14
43,189E912
44,14716
45,117X
46,19
47,2680
48,18
49,830
4X,20E13
4E,4
50,9991
51,8940
52,8
53,106E7610
54,43
55,X
56,717X8E7
57,X746
58,1X
59,6
5X,64E1
5E,119199X7X2
60,50E
61,X04
62,4
63,2446
64,37
65,12
66,8E863
67,8X8484
68,727
69,3618
6X,E403
6E,8
70,14
71,97EX0X4X
72,24
73,1XX
74,2451
75,4
76,23
77,43X16
78,28
79,1214X
7X,33
7E,1EE22
80,1503E5
81,9310
82,X
83,490
84,1519
85,14
86,205
87,7E96
88,4
89,89140
8X,1EX616
8E,X2
90,13252
91,2X
92,32
93,12104
94,203X
95,7X
96,20
97,24996
98,21
99,1320
9X,59
9E,4
X0,X5666415
X1,260
X2,34
X3,12X2
X4,4X15E57X
X5,8
X6,30E838
X7,22211X8E56
X8,38
X9,12
XX,413201
XE,X
E0,11
E1,1160
E2,4
E3,788
E4,44599
E5,1X
E6,1739
E7,6
E8,3X
E9,375283E0
EX,10
EE,44E8
100,4E
101,189156
102,8
103,X476
104,2707
105,4
106,24496
107,40270
108,14
109,2X
10X,51
10E,12
110,36982X0574
111,940
112,44
113,30
114,1X
115,1028
116,3701
117,2514
118,4
119,187X
11X,69697
11E,8
120,5424
121,14
122,18
123,XX5X
124,90
125,24
126,6
127,14E237400
128,4X
129,2140
12X,E01
12E,4
130,690053
131,9X
132,1E
133,724
134,30
135,28
136,57
137,566
138,8
139,48
13X,1078833
13E,212
140,4687
141,8446
142,4
143,80E06002
144,XE7EX6
145,X
146,2461
147,77X0
148,3E
149,166601X
14X,49
14E,14
150,69
151,68076
152,1X
153,5556
154,109
155,4
156,41617747
157,E866
158,5X
159,24EX
15X,123
15E,E644
160,78
161,10X6
162,62
163,2X
164,87
165,32
166,1693X7
167,2955X
168,4
169,57E3X
16X,627630
16E,18
170,7E6
171,20
172,8
173,101830
174,197034
175,12
176,3X
177,910X
178,68
179,42
17X,1X68769
17E,4
180,6E0777
181,268124
182,8
183,1E23X
184,6
185,34
186,65
187,35394
188,6X
189,588
18X,1X10951
18E,8
190,39
191,1258X
192,4
193,53866
194,859
195,38
196,30
197,100
198,24
199,2E62470
19X,540E0
19E,X
1X0,46
1X1,186
1X2,74
1X3,549260
1X4,49XX
1X5,4
1X6,2EXE8
1X7,4853EX36
1X8,8
1X9,2372
1XX,19
1XE,1X
1E0,260435
1E1,E3E6
1E2,8
1E3,6
1E4,924XE44391X56
1E5,3X
1E6,6307
1E7,5190X
1E8,4
1E9,10
1EX,26X
1EE,4172
200,1694
201,150
202,82
203,17294
204,1E461
205,8
206,9E
207,170646
208,X
209,6541X
20X,133
20E,4
210,71
211,4326X6
212,14
213,8515X
214,X1
215,14
216,189E69
217,2X
218,88
219,7X
21X,10E3X0
21E,EX
220,36E611
221,54500
222,4
223,E4X
224,11X480
225,44
226,100
227,490
228,8X
229,1X
22X,16
22E,13X4
230,12
231,23884X7X
232,92
233,1098
234,40
235,4
236,56X3897
237,116376
238,32
239,392X
23X,56
23E,8
240,452X8
241,386
242,94
243,14
244,219
245,18
246,3X0
247,1154
248,4
249,9E6132X8
24X,754E41X
24E,24
250,13423
251,6
252,12
253,56EX0
254,475X
255,14
256,E9
257,11796
258,8
259,1X0304
25X,92518E6
25E,4
260,444
261,687144
262,X
263,54
264,203
265,214
266,39X27
267,2006
268,34
269,30
26X,114
26E,28
270,5743
271,X0
272,4
273,2622084
274,42X
275,8
276,3890
277,186
278,X8
279,X87X
27X,6797
27E,712
280,6
281,1132554
282,71
283,105X
284,44289
285,4
286,E5
287,9E71X
288,XX
289,29E00
28X,113
28E,X
290,3059
291,612X
292,8
293,5X5904692
294,4225456
295,58
296,78
297,6730
298,4
299,102
29X,136
29E,14
2X0,30E2
2X1,X4
2X2,E4
2X3,2291X
2X4,E0
2X5,1X
2X6,70
2X7,722518710
2X8,E8
2X9,48
2XX,4X3X
2XE,4
2E0,92448E
2E1,2717X
2E2,3X
2E3,5742
2E4,14
2E5,5X
2E6,52
2E7,1E6304X
2E8,X
2E9,38
2EX,10E79
2EE,E7X2
300,23091
301,246
302,4
303,872X564XX
304,154
305,8
306,1635
307,2X
308,8
309,9X
30X,19340
30E,134
310,12E
311,880X
312,104
313,150
314,68673
315,4
316,X2
317,48210
318,108
319,1766618
31X,6
31E,18
320,4E76257
321,411EX
322,14
323,20
324,19X63
325,8
326,2379X2X
327,830
328,4
329,39208
32X,3910
32E,8
330,14X
331,3X
332,112
333,2782
334,73
335,8
336,33
337,200
338,44
339,39288
33X,212851
33E,4
340,32
341,3XE36E0
342,8
343,28
344,80
345,1E28
346,126899
347,3E04
348,118
349,6
34X,8903
34E,34
350,72
351,230
352,4
353,29487X
354,E9
355,14
356,4753
357,1290
358,11X
359,1E2
35X,5140
35E,8
360,149
361,154
362,21
363,7E2
364,24EX60
365,4
366,162
367,527388194190
368,16
369,22630
36X,2X3
36E,38
370,EX
371,30
372,124
373,12
374,6EX
375,24
376,16X84
377,6360
378,4
379,2X87X86
37X,271
37E,X
380,98
381,690
382,4X
383,18
384,34
385,74
386,8X
387,1684X00
388,12X
389,8633X
38X,23
38E,4
390,447963
391,5137500
