1,E
2,11
3,111
4,101
5,11111
6,E1
7,1111111
8,10001
9,1001001
X,E0E1
E,11111111111
10,EE01
11,1111111111111
12,E0E0E1
13,E00E0EE1
14,100000001
15,11111111111111111
16,EEE001
17,1111111111111111111
18,EE00EE01
19,E00E00EE0EE1
1X,E0E0E0E0E1
1E,11111111111111111111111
20,EEEE0001
21,100001000010000100001
22,E0E0E0E0E0E1
23,1000000001000000001
24,EE00EE00EE01
25,11111111111111111111111111111
26,10EXXE011
27,1111111111111111111111111111111
28,10000000000000001
29,E00E00E00E0EE0EE0EE1
2X,E0E0E0E0E0E0E0E1
2E,E0000E0E00E0E0EE0E0EEEE1
30,EEEEEE000001
31,1111111111111111111111111111111111111
32,E0E0E0E0E0E0E0E0E1
33,E00E00E00E00EE0EE0EE0EE1
34,EEEE0000EEEE0001
35,11111111111111111111111111111111111111111
36,10EXE00EXE011
37,1111111111111111111111111111111111111111111
38,EE00EE00EE00EE00EE01
39,EEE000000EEE000EEEEEE001
3X,E0E0E0E0E0E0E0E0E0E0E1
3E,11111111111111111111111111111111111111111111111
40,EEEEEEEE00000001
41,1000000100000010000001000000100000010000001
42,EEEEE00000EEEEE00001
43,E00E00E00E00E00E0EE0EE0EE0EE0EE1
44,EE00EE00EE00EE00EE00EE01
45,11111111111111111111111111111111111111111111111111111
46,EEEEEEEEE000000001
47,E0000E0000EE000EE000EEE00EEE00EEEE0EEEE1
48,EEEE0000EEEE0000EEEE0001
49,E00E00E00E00E00E00EE0EE0EE0EE0EE0EE1
4X,E0E0E0E0E0E0E0E0E0E0E0E0E0E1
4E,11111111111111111111111111111111111111111111111111111111111
50,100EEEXEXEE000101
51,1111111111111111111111111111111111111111111111111111111111111
52,E0E0E0E0E0E0E0E0E0E0E0E0E0E0E1
53,EEE000000EEE000000EEEEEE000EEEEEE001
54,100000000000000000000000000000001
55,E0000E0000E00E0E00E0E00E0EE0E0EE0E0EE0EEEE0EEEE1
56,10EXE010EXXE010EXE011
57,1111111111111111111111111111111111111111111111111111111111111111111
58,EE00EE00EE00EE00EE00EE00EE00EE01
59,E00E00E00E00E00E00E00E0EE0EE0EE0EE0EE0EE0EE1
5X,10EEEXXXE011110EXXXE00011
5E,11111111111111111111111111111111111111111111111111111111111111111111111
60,EEEEEEEEEEEE000000000001
61,1111111111111111111111111111111111111111111111111111111111111111111111111
62,E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E1
63,EEEEE0000000000EEEEE00000EEEEEEEEEE00001
64,EE00EE00EE00EE00EE00EE00EE00EE00EE01
65,E000000E000E00E000E00EE00E00EE00EE0EE00EE0EEE0EE0EEE0EEEEEE1
66,10EXE010EXE00EXE010EXE011
67,1111111111111111111111111111111111111111111111111111111111111111111111111111111
68,EEEEEEEE00000000EEEEEEEE00000001
69,1000000000000000000000000001000000000000000000000000001
6X,E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E1
6E,11111111111111111111111111111111111111111111111111111111111111111111111111111111111
70,100EEEXEE0000EEEXEE000101
71,E0000E0000E0000E0E00E0E00E0E00E0E0EE0E0EE0E0EE0E0EEEE0EEEE0EEEE1
72,E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E1
