2,206817
3,701E
4,261
5,11
6,41013
7,321
8,12
9,35
X,23X
E,5
10,274
11,25
12,4
13,26022E
14,84
15,41
16,186
17,9
18,8
19,39
1X,1702
1E,5
20,16868
21,89
22,105
23,11
24,2221
25,4
26,2X28
27,101
28,X
29,395
2X,6
2E,5
30,1767E
31,25
32,11
33,9
34,1289X
35,8
36,8915
37,19
38,4
39,79
3X,654
3E,5
40,1X4X
41,69
42,14
43,21
44,12587
45,11
46,19
47,11
48,18
49,100
4X,397
4E,4
50,EX92
51,X5
52,8
53,5E5
54,12
55,X
56,NA
57,29
58,1X
59,6
5X,5E1
5E,5
60,205
61,94
62,4
63,31
64,2X
65,11
66,4414E
67,9
68,191
69,62
6X,10E06
6E,5
70,14
71,125
72,24
73,19
74,3E7
75,4
76,23
77,39
78,28
79,139
7X,33
7E,5
80,1X697
81,37
82,X
83,9
84,157
85,11
86,E43
87,21
88,4
89,209
8X,7X74
8E,5
90,7912
91,9
92,32
93,11
94,951
95,18
96,20
97,49
98,12
99,105
9X,42
9E,4
X0,NA
X1,84
X2,12
X3,11
X4,45901
X5,8
X6,1E2305
X7,1601
X8,38
X9,12
XX,1597
XE,5
E0,18
E1,15
E2,4
E3,29
E4,10X17
E5,15
E6,1066
E7,6
E8,3X
E9,1E9
EX,10
EE,5
100,4E
101,815
102,8
103,61
104,1154
105,4
106,24496
107,31
108,14
109,2X
10X,51
10E,5
110,NA
111,15
112,44
113,9
114,1X
115,55
116,1X77
117,69
118,4
119,67
11X,24EX
11E,5
120,28E4
121,14
122,18
123,71
124,177
125,11
126,6
127,19
128,4X
129,155
12X,1X
12E,4
130,NA
131,21
132,52
133,39
134,30
135,15
136,57
137,43
138,8
139,9
13X,262925
13E,5
140,8061
141,344
142,4
143,11
144,897
145,X
146,2152
147,9
148,58
149,575
14X,49
14E,5
150,69
151,21
152,1X
153,21
154,48
155,4
156,NA
157,84
158,5X
159,49
15X,38
15E,5
160,78
161,241
162,62
163,9
164,87
165,11
166,43296
167,11
168,4
169,2115
16X,584
16E,5
170,9812
171,9
172,8
173,49
174,14094
175,12
176,3X
177,54
178,68
179,25
17X,X45X
17E,4
180,NA
181,55
182,12
183,X1
184,6
185,11
186,65
187,51
188,6X
189,35
18X,5707
18E,5
190,39
191,105
192,4
193,61
194,84
195,38
196,30
197,9
198,24
199,379
19X,2584
19E,5
1X0,46
1X1,18
1X2,74
1X3,E1
1X4,91X
1X5,4
1X6,10669
1X7,29
1X8,8
1X9,515
1XX,19
1XE,5
1E0,NA
1E1,117
1E2,12
1E3,6
1E4,NA
1E5,15
1E6,E0XE
1E7,E9
1E8,4
1E9,10
1EX,6E
1EE,5
200,431
201,4E
202,82
203,101
204,23X
205,8
206,9E
207,61
208,X
209,755
20X,98
20E,4
210,71
211,425
212,11
213,31
214,27
215,14
216,1X8X7
217,8
218,88
219,9
21X,13E37
21E,5
220,84421
221,149
222,4
223,111
224,X10X
225,11
226,100
227,9
228,8X
229,1X
22X,16
22E,5
230,12
231,465
232,92
233,43
234,40
235,4
236,NA
237,119
238,32
239,129
23X,54
23E,5
240,1X518
241,69
242,62
243,9
244,28
245,11
246,445
247,43
248,4
249,975
24X,X537
24E,5
250,X854
251,6
252,12
253,19
254,14X2
255,4X
256,E9
257,67
258,8
259,4E9
25X,NA
25E,4
260,2232
261,709
262,X
263,11
264,62
265,11
266,1279
267,39
268,34
269,30
26X,114
26E,5
270,2711
271,25
272,4
273,79
274,100
275,8
276,X65
277,9
278,X8
279,311
27X,27E1
27E,5
280,6
281,12369
282,38
283,11
284,1X354
285,4
286,E5
287,11
288,62
289,301
28X,113
28E,5
290,20148
291,61
292,8
293,9
294,7E027
295,41
296,78
297,29
298,4
299,25
29X,136
29E,5
2X0,30E0
2X1,35
2X2,E4
2X3,151
2X4,59
2X5,11
2X6,70
2X7,21
2X8,E8
2X9,48
2XX,E77
2XE,4
2E0,NA
2E1,349
2E2,3X
2E3,15
2E4,14
2E5,15
2E6,52
2E7,159
2E8,X
2E9,9
2EX,498X
2EE,5
300,93558
301,78
302,4
303,161
304,XX
