2,39565
3,6487
4,2XE
5,7
6,84X58
7,155
8,3E
9,27
X,6X5
E,5
10,375
11,13
12,4
13,285599
14,32
15,27
16,292
17,9
18,8
19,1E
1X,1379
1E,5
20,158X3
21,67
22,165
23,11
24,2776
25,4
26,603
27,17E
28,X
29,367
2X,6
2E,5
30,1112
31,33
32,12
33,9
34,2374E
35,8
36,78X4
37,19
38,4
39,3E
3X,615
3E,5
40,857
41,27
42,14
43,21
44,14716
45,7
46,19
47,11
48,18
49,3E
4X,348
4E,4
50,9991
51,53
52,8
53,E05
54,12
55,X
56,NA
57,22
58,1X
59,6
5X,64E1
5E,5
60,50E
61,3E
62,4
63,31
64,2X
65,7
66,47780
67,9
68,727
69,3EE
6X,E403
6E,5
70,14
71,73
72,24
73,19
74,22
75,4
76,23
77,39
78,28
79,7E
7X,33
7E,5
80,33X31
81,X7
82,X
83,9
84,52
85,7
86,205
87,21
88,4
89,227
8X,146E
8E,5
90,13252
91,17
92,32
93,11
94,1385
95,18
96,20
97,49
98,12
99,9E
9X,42
9E,4
X0,NA
X1,23
X2,34
X3,47
X4,15E35
X5,7
X6,30E838
X7,3807
X8,38
X9,12
XX,735
XE,5
E0,11
E1,4E
E2,4
E3,29
E4,14X78
E5,1X
E6,1739
E7,6
E8,3X
E9,EE
EX,10
EE,5
100,4E
101,713
102,8
103,61
104,1988
105,4
106,24496
107,31
108,14
109,13
10X,51
10E,5
110,NA
111,3E
112,44
113,9
114,1X
115,7E
116,3701
117,69
118,4
119,11E
11X,23E
11E,5
120,5424
121,14
122,18
123,71
124,52
125,7
126,6
127,19
128,4X
129,67
12X,3E5
12E,4
130,NA
131,13
132,1E
133,39
134,30
135,1E
136,57
137,3E
138,8
139,17
13X,NA
13E,5
140,4687
141,167E
142,4
143,11
144,9635
145,7
146,2461
147,9
148,3E
149,427
14X,49
14E,5
150,69
151,153
152,1X
153,21
154,48
155,4
156,NA
157,89
158,5X
159,43
15X,38
15E,5
160,78
161,467
162,62
163,9
164,42
165,7
166,140977
167,11
168,4
169,1E67
16X,182E
16E,5
170,7E6
171,17
172,8
173,49
174,1598
175,12
176,3X
177,8E
178,68
179,13
17X,1800E
17E,4
180,NA
181,127
182,8
183,X1
184,6
185,7
186,65
187,51
188,6X
189,27
18X,57E8
18E,5
190,39
191,193
192,4
193,185
194,32
195,38
196,30
197,9
198,24
199,19E
19X,69X5
19E,5
1X0,46
1X1,13
1X2,74
1X3,E1
1X4,2792
1X5,4
1X6,2EXE8
1X7,29
1X8,8
1X9,313
1XX,19
1XE,5
1E0,260435
1E1,12E
1E2,8
1E3,6
1E4,NA
1E5,1E
1E6,6307
1E7,15
1E8,4
1E9,10
1EX,6E
1EE,5
200,1127
201,4E
202,82
203,101
204,8E
205,7
206,9E
207,61
208,X
209,17E
20X,98
20E,4
210,71
211,213
212,14
213,31
214,X1
215,14
216,189E69
217,11
218,88
219,17
21X,13918
21E,5
220,36E611
221,327
222,4
223,111
224,9XX5
225,7
226,100
227,9
228,8X
229,1X
22X,16
22E,5
230,12
231,233
232,92
233,3E
234,40
235,4
236,NA
237,6E
238,32
239,3E
23X,56
23E,5
240,57X6
241,153
242,94
243,9
244,28
245,7
246,3X0
247,71
248,4
249,727
24X,1X268
24E,5
250,13423
251,6
252,12
253,19
254,1XX5
255,14
256,E9
257,15
258,8
259,25E
25X,NA
25E,4
260,444
261,552
262,X
263,11
264,62
265,7
266,17850
267,15
268,34
269,27
26X,114
26E,5
270,4399
271,15
272,4
273,79
274,100
275,8
276,3890
277,9
278,X8
279,27E
27X,47X2
27E,5
280,6
281,120X7
282,38
283,59
284,60E2
285,4
286,E5
287,11
288,XX
289,827
28X,113
28E,5
290,3059
291,293
292,8
293,9
294,2512
295,27
296,78
297,149
298,4
299,13
29X,136
29E,5
2X0,30E2
2X1,27
2X2,E4
2X3,151
2X4,E0
2X5,7
2X6,70
2X7,21
2X8,E8
2X9,48
2XX,2535
2XE,4
2E0,NA
2E1,3E
2E2,3X
2E3,89
2E4,14
2E5,1E
2E6,52
2E7,159
2E8,X
2E9,17
2EX,15E5
2EE,5
300,23091
301,53
302,4
303,161
304,68
305,7
306,1635
307,9
308,8
309,67
30X,X618
30E,5
310,12E
311,15
312,104
313,11
314,1748
315,4
316,X2
317,169
318,108
319,31E
31X,6
31E,5
320,NA
321,967
322,14
323,9
324,19X63
325,7
326,NA
327,3E
328,4
329,1X7E
32X,68
32E,5
330,14X
331,17
332,112
333,99
334,73
335,8
336,33
337,11
338,44
339,33E
33X,15568
33E,4
340,32
341,4227
342,8
343,19
344,80
345,7
346,126899
347,37
348,118
349,6
34X,6E2
34E,5
350,72
351,33
352,4
353,51
354,E9
355,14
356,4753
357,9
358,11X
359,183
35X,292
35E,5
360,149
361,39
362,12
363,6E
364,1674E
365,4
366,162
367,27837
368,16
369,150E3
36X,88
36E,5
370,EX
371,13
372,124
373,9
374,16E
375,1E
376,16X84
377,3E
378,4
379,37E
