1,
2,
3,
4,
5,1
6,
7,1
8,
9,
X,6
E,1
10,
11,1
12,8
13,6
14,
15,1
16,
17,1
18,14
19,13
1X,10
1E,10
20,
21,E
22,12
23,
24,8
25,1
26,6
27,14
28,
29,10
2X,16
2E,1
30,
31,1
32,18
33,23
34,14
35,X
36,30
37,14
38,10
39,30
3X,10
3E,23
40,
41,13
42,30
43,16
44,34
45,36
46,
47,1
48,8
49,33
4X,26
4E,5
50,30
51,9
52,14
53,30
54,
55,1
56,10
57,21
58,44
59,10
5X,30
5E,4
60,
61,1
62,32
63,30
64,18
65,1
66,56
67,57
68,14
69,
6X,X
6E,22
70,30
71,1
72,14
73,26
74,48
75,1
76,30
77,1
78,10
79,66
7X,62
7E,1
80,
81,1
82,54
83,39
84,30
85,5
86,16
87,8
88,34
89,30
8X,36
8E,41
90,
91,53
92,48
93,63
94,54
95,41
96,80
97,69
98,74
99,23
9X,54
9E,1
X0,80
X1,10
X2,5X
X3,43
X4,14
X5,72
X6,30
X7,8
X8,
X9,86
XX,56
XE,35
E0,10
E1,1
E2,78
E3,69
E4,X0
E5,60
E6,10
E7,X5
E8,30
E9,23
EX,4
EE,1
100,
101,1
102,62
103,13
104,94
105,6
106,30
107,69
108,80
109,16
10X,66
10E,14
110,100
111,1
112,102
113,36
114,80
115,X7
116,
117,E8
118,78
119,93
11X,22
11E,46
120,X0
121,111
122,72
123,109
124,14
125,E6
126,26
127,30
128,100
129,X3
12X,76
12E,39
130,30
131,36
132,78
133,9
134,88
135,1
136,66
137,1
138,120
139,116
13X,80
13E,3
140,
141,1
142,82
143,56
144,54
145,85
146,100
147,X1
148,E4
149,113
14X,8X
14E,1
150,X0
151,43
152,8
153,69
154,100
155,1
156,30
157,4X
158,104
159,63
15X,110
15E,14
160,
161,66
162,124
163,103
164,48
165,1
166,136
167,156
168,54
169,30
16X,116
16E,6X
170,80
171,38
172,144
173,66
174,74
175,1
176,100
177,X1
178,54
179,169
17X,X0
17E,83
180,80
181,77
182,10
183,
184,140
185,157
186,126
187,1
188,14
189,140
18X,72
18E,70
190,30
191,10
192,8
193,123
194,
195,8
196,86
197,1
198,144
199,99
19X,124
19E,6E
1X0,100
1X1,149
1X2,E2
1X3,76
1X4,78
1X5,164
1X6,160
1X7,24
1X8,194
1X9,133
1XX,60
1XE,93
1E0,10
1E1,149
1E2,1X0
1E3,123
1E4,128
1E5,4X
1E6,120
1E7,191
1E8,4
1E9,80
1EX,100
1EE,78
200,
201,16
202,102
203,143
204,164
205,4E
206,116
207,181
208,94
209,183
20X,6
20E,144
210,30
211,1XX
212,174
213,153
214,80
215,XE
216,16
217,89
218,174
219,93
21X,14
21E,12X
220,100
221,189
222,112
223,30
224,214
225,172
226,36
227,1
228,194
229,110
22X,200
22E,1
230,
231,199
232,E8
233,53
234,194
235,219
236,1E0
237,136
238,140
239,209
23X,46
23E,16X
240,200
241,127
242,232
243,116
244,194
245,66
246,230
247,157
248,14
249,69
24X,E6
24E,X7
250,150
251,211
252,30
253,23
254,228
255,159
256,210
257,102
258,1X4
259,X0
25X,168
25E,175
260,160
261,33
262,36
263,10
264,78
265,1
266,140
267,13X
268,200
269,209
26X,136
26E,104
270,1X0
271,1EX
272,138
273,240
274,120
275,1
276,116
277,161
278,80
279,E3
27X,142
27E,52
280,
281,1
282,142
283,260
284,204
285,212
286,56
287,2E
288,54
289,213
28X,20X
28E,102
290,100
291,194
292,228
293,1X3
294,240
295,193
296,260
297,232
298,218
299,69
29X,150
29E,1
2X0,X0
2X1,160
2X2,194
2X3,60
2X4,8
