1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
X,1
E,1
10,1
11,10
12,6
13,4
14,3
15,X
16,2
17,E
18,3
19,4
1X,1
1E,7
20,1
21,10
22,6
23,4
24,3
25,E
26,2
27,E
28,3
29,1
2X,5
2E,9
30,1
31,10
32,E
33,4
34,3
35,E
36,2
37,E
38,1
39,4
3X,4
3E,E
40,1
41,14
42,6
43,4
44,3
45,E
46,2
47,1
48,3
49,E
4X,E
4E,E
50,1
51,10
52,E
53,5
54,7
55,9
56,1
57,7
58,3
59,3
5X,9
5E,E
60,1
61,1X
62,6
63,4
64,E
65,1
66,2
67,E
68,9
69,X
6X,E
6E,E
70,1
71,2
72,E
73,18
74,1
75,5
76,2
77,8
78,2
79,E
7X,E
7E,9
80,1
81,1X
82,8
83,1
84,3
85,1X
86,2
87,19
88,3
89,3
8X,E
8E,E
90,1
91,1X
92,1
93,4
94,3
95,1X
96,E
97,2
98,E
99,4
9X,E
9E,4
X0,1
X1,1
X2,6
X3,1X
X4,E
X5,9
X6,4
X7,12
X8,7
X9,1X
XX,6
XE,E
E0,1
E1,8
E2,6
E3,4
E4,3
E5,1X
E6,2
E7,1X
E8,6
E9,14
EX,E
EE,2
100,1
101,10
102,E
103,10
104,3
105,10
106,2
107,1X
108,7
109,2
10X,1
10E,10
110,1
111,10
112,E
113,E
114,7
115,1
116,5
117,E
118,E
119,1
11X,E
11E,E
120,1
121,6
122,1
123,5
124,E
125,E
126,X
127,8
128,1
129,X
12X,5
12E,E
130,1
131,1X
132,4
133,4
134,1
135,E
136,X
137,1
138,X
139,5
13X,E
13E,E
140,3
141,10
142,E
143,3
144,4
145,E
146,1
147,9
148,3
149,3
14X,E
14E,E
150,1
151,1X
152,E
153,1
154,3
155,1
156,3
157,E
158,E
159,E
15X,E
15E,E
160,2
161,X
162,E
163,8
164,1
165,2
166,2
167,E
168,2
169,2
16X,E
16E,E
170,7
171,56
172,1
173,1
174,9
175,1X
176,2
177,8
178,9
179,8
17X,2
17E,E
180,3
181,1X
182,1
183,8
184,3
185,10
186,E
187,6
188,X
189,8
18X,6
18E,E
190,2
191,1
192,7
193,2
194,E
195,1X
196,E
197,12
198,3
199,8
19X,E
19E,E
1X0,1
1X1,10
1X2,4
1X3,4
1X4,3
1X5,1X
1X6,2
1X7,1X
1X8,2
1X9,4
1XX,E
1XE,2
1E0,1
1E1,1X
1E2,E
1E3,X
1E4,3
1E5,18
1E6,8
1E7,1X
1E8,E
1E9,3
1EX,1
1EE,17
200,1
201,10
202,6
203,18
204,6
205,1X
206,6
207,6
208,3
209,1
20X,6
20E,1
210,1
211,10
212,E
213,10
214,7
215,6
216,1
217,56
218,1
219,7
21X,6
21E,1X
220,1
221,29
222,6
223,1
224,6
225,E
226,X
227,1
228,5
229,E
22X,1
22E,2
230,4
231,4
232,E
233,1X
234,E
235,8
236,1
237,7
238,6
239,4
23X,E
23E,4
240,1
241,1X
242,3
243,10
244,1
245,1
246,6
247,E
248,E
249,1
24X,E
24E,X
250,5
251,1X
252,4
253,4
254,1
255,5
256,5
257,E
258,3
259,2
25X,E
25E,E
260,1
261,7
262,E
263,1
264,2
265,1X
266,2
267,E
268,1
269,E
26X,E
26E,X
270,5
271,56
272,1
273,3
274,5
275,14
276,5
277,47
278,7
279,8
27X,E
27E,E
280,3
281,1
282,6
283,18
284,E
285,1X
286,2
287,1
288,2
289,E
28X,E
28E,E
290,1
291,10
292,6
293,4
294,3
295,1X
296,2
297,X
298,9
299,2
29X,E
29E,2
2X0,1
2X1,1X
2X2,E
2X3,1X
2X4,6
2X5,6
2X6,1
2X7,6
2X8,3
2X9,1X
2XX,1
2XE,9
2E0,2
2E1,1X
2E2,E
2E3,8
2E4,X
2E5,2
2E6,E
2E7,6
2E8,E
2E9,2
2EX,E
2EE,1X
300,1
301,10
302,5
303,4
304,E
305,7
306,4
307,1X
308,1
309,4
30X,1
30E,1X
310,1
311,1
312,E
313,4
314,1
315,1X
316,1
317,1
318,8
319,1X
31X,E
31E,8
320,6
321,10
322,29
323,8
324,5
325,1X
326,1
327,10
328,5
329,4
32X,E
32E,1X
330,1
331,1
332,4
333,4
334,6
335,1
336,4
337,E
338,1
339,X
33X,E
33E,E
340,3
341,3
342,E
343,4
344,1
345,E
346,4
347,E
348,3
349,E
34X,6
34E,E
350,E
351,8
352,3
353,1
354,5
355,16
356,4
357,E
358,3
359,E
35X,E
35E,E
360,1
361,10
362,1
363,2
364,4
365,1X
366,1
367,E
368,E
369,4
36X,E
36E,9
370,7
371,1
372,7
373,1X
374,3
375,1X
376,4
377,20
378,E
379,4
37X,E
37E,5
380,1
381,10
382,6
383,4
384,2
385,12
386,2
387,7
388,2
389,E
38X,E
38E,2
390,1
391,29
392,E
393,1X
