2,EX
3,5X
4,5E
5,2X
6,5X
7,1X
8,3E
9,2E
X,2X
E,12
10,5X
11,E
12,1X
13,2X
14,2E
15,8
16,2E
17,7
18,2X
19,1X
1X,12
1E,6
20,3E
21,15
22,E
23,1E
24,1X
25,4
26,2X
27,4
28,24
29,12
2X,8
2E,1X
30,2E
31,3
32,7
33,E
34,2X
35,3
36,1X
37,3
38,12
39,2X
3X,6
3E,3
40,2E
41,E
42,15
43,8
44,E
45,2
46,1E
47,12
48,1X
49,7
4X,4
4E,2
50,2X
51,2
52,4
53,1X
54,1E
55,E
56,12
57,2
58,8
59,6
5X,1X
5E,2
60,2E
61,1
62,3
63,15
64,7
65,12
66,E
67,1
68,2X
69,15
6X,3
6E,1
70,1X
71,8
72,3
73,4
74,12
75,1
76,2X
77,E
78,6
79,4
7X,3
7E,7
80,24
81,1
82,E
83,12
84,15
85,1
86,8
87,1
88,E
89,1X
8X,2
8E,1
90,1E
91,1
92,12
93,3
94,1X
95,1
96,7
97,6
98,4
99,E
9X,2
9E,8
X0,2X
X1,7
X2,2
X3,3
X4,4
X5,E
X6,1X
X7,1
X8,18
X9,3
XX,E
XE,1
E0,12
E1,7
E2,2
E3,1E
E4,8
E5,1
E6,6
E7,1
E8,1X
E9,3
EX,2
EE,E
100,2E
