2,EE8
3,5EX
4,5EX
5,2E9
6,5EX
7,1EX
8,3EX
9,2EE
X,2E9
E,124
10,5EX
11,EX
12,1EX
13,2E9
14,2EE
15,8X
16,2EE
17,7X
18,2E9
19,1EX
1X,124
1E,66
20,3EX
21,15X
22,EX
23,1EE
24,1EX
25,51
26,2E9
27,48
28,248
29,124
2X,8X
2E,1EX
30,2EE
31,3E
32,7X
33,EX
34,2E9
35,37
36,1EX
37,34
38,124
39,2E9
3X,66
3E,30
40,2EE
41,EE
42,15X
43,8X
44,EX
45,28
46,1EE
47,124
48,1EX
49,7X
4X,51
4E,25
50,2E9
51,24
52,48
53,1EX
54,1EE
55,EX
56,124
57,21
58,8X
59,66
5X,1EX
5E,20
60,2EE
61,1E
62,3E
63,15X
64,7X
65,124
66,EX
67,19
68,2E9
69,15E
6X,37
6E,18
70,1EX
71,8X
72,34
73,51
74,124
75,17
76,2E9
77,EX
78,66
79,48
7X,30
7E,7X
80,248
81,15
82,EE
83,124
84,15X
85,15
86,8X
87,14
88,EX
89,1EX
8X,28
8E,14
90,1EE
91,13
92,124
93,3E
94,1EX
95,13
96,7X
97,66
98,51
99,EX
9X,25
9E,8X
X0,2E9
X1,72
X2,24
X3,37
X4,48
X5,EE
X6,1EX
X7,11
X8,186
X9,34
XX,EX
XE,11
E0,124
E1,7X
E2,21
E3,1EE
E4,8X
E5,10
E6,66
E7,10
E8,1EX
E9,30
EX,20
EE,EX
100,2EE
101,51
102,1E
103,EE
104,3E
105,E
106,15X
107,E
108,7X
109,8X
10X,124
10E,48
110,EX
111,E
112,19
113,28
114,248
115,66
116,15E
117,X
118,37
119,124
11X,18
11E,X
120,1EX
121,5E
122,8X
123,7X
124,34
125,9
126,51
127,15X
128,124
129,25
12X,17
12E,9
130,2E9
131,9
132,EX
133,24
134,66
135,3E
136,48
137,8X
138,30
139,1EX
13X,7X
13E,9
140,1EE
141,8
142,15
143,EX
144,EE
145,8
146,124
147,8
148,15X
149,21
14X,15
14E,51
150,8X
151,37
152,14
153,66
154,EX
155,7X
156,1EX
157,8
158,28
159,20
15X,14
15E,34
160,1EE
161,48
162,13
163,1E
164,124
165,8X
166,3E
167,7
168,1EX
169,15X
16X,13
16E,7
170,7X
171,7
172,66
173,124
174,51
175,7
176,EX
177,30
178,25
179,19
17X,8X
17E,7
180,2E9
181,7
182,72
183,124
184,24
185,EE
186,37
187,7X
188,48
189,18
18X,EE
18E,6
190,1EX
191,66
192,11
193,8X
194,15E
195,6
196,34
197,3E
198,EX
199,51
19X,11
19E,6
1X0,124
1X1,28
1X2,7X
1X3,17
1X4,21
1X5,6
1X6,1EE
1X7,6
1X8,8X
1X9,EX
1XX,10
1XE,124
1E0,66
1E1,6
1E2,10
1E3,48
1E4,1EX
1E5,6
1E6,30
1E7,6
1E8,20
1E9,7X
1EX,EX
1EE,37
200,248
201,45
202,51
203,15
204,1E
205,5
206,EE
207,25
208,3E
209,124
20X,E
20E,66
210,15X
211,34
212,E
213,15
214,7X
215,24
216,8X
217,5
218,124
219,14
21X,48
21E,5
220,EX
221,5
222,E
223,1EX
224,19
225,5
226,28
227,51
228,1EE
229,14
22X,66
22E,7X
230,15E
231,EX
232,X
233,13
234,37
235,30
236,124
237,5
238,18
239,3E
23X,X
23E,21
240,1EX
241,5
242,5E
243,13
244,8X
245,48
246,7X
247,7E
248,34
249,66
24X,9
24E,4
250,51
251,4
252,15X
253,EX
254,124
255,4
256,25
257,20
258,17
259,8X
25X,9
25E,4
260,2E9
261,3E
262,9
263,72
264,EX
265,1E
266,24
267,4
268,66
269,37
26X,3E
26E,28
270,48
271,4
272,8X
