2,1XE
3,65
4,57
5,73
6,1
7,23
8,34
9,20
X,42
E,22
10,0
11,31
12,24
13,38
14,28
15,13
16,1
17,37
18,16
19,23
1X,1X
1E,1X
20,0
21,1E
22,20
23,14
24,13
25,49
26,1
27,13
28,47
29,1E
2X,X
2E,15
30,0
31,1X
32,14
33,20
34,5X
35,35
36,1
37,1E
38,19
39,25
3X,16
3E,1E
40,0
41,E
42,11
43,19
44,32
45,39
46,1
47,E
48,27
49,22
4X,16
4E,24
50,0
51,14
52,17
53,5
54,18
55,E
56,1
57,19
58,28
59,5
5X,1E
5E,E
60,0
61,5
62,X
63,14
64,X
65,E
66,1
67,19
68,11
69,10
6X,16
6E,12
70,0
71,1E
72,1X
73,15
74,1E
75,9
76,1
77,11
78,4
79,9
7X,9
7E,1X
80,0
81,14
82,1E
83,14
84,21
85,8
86,1
87,8
88,16
89,6
8X,26
8E,X
90,0
91,E
92,18
93,19
94,X
95,11
96,1
97,X
98,1X
99,11
9X,E
9E,X
X0,0
X1,11
X2,7
X3,E
X4,9
X5,25
X6,1
X7,13
X8,11
X9,16
XX,E
XE,19
E0,0
E1,15
E2,12
E3,18
E4,11
E5,E
E6,1
E7,15
E8,13
E9,14
EX,9
EE,1E
100,0
101,0
102,E
103,10
104,14
105,5
106,0
107,E
108,12
109,16
10X,14
10E,15
110,0
111,X
112,8
113,21
114,11
115,13
116,1
117,15
118,5
119,8
11X,E
11E,17
120,0
121,8
122,11
123,E
124,8
125,3
126,1
127,8
128,3
129,18
12X,16
12E,E
130,0
131,16
132,16
133,34
134,1X
135,5
136,1
137,7
138,18
139,17
13X,20
13E,13
140,0
141,8
142,4
143,8
144,12
145,11
146,1
147,7
148,10
149,18
14X,13
14E,16
150,0
151,15
152,9
153,20
154,19
155,4
156,1
157,X
158,20
159,7
15X,12
15E,7
160,0
161,7
162,18
163,8
164,X
165,2X
166,1
167,19
168,14
169,1X
16X,20
16E,11
170,0
171,12
172,15
173,8
174,8
175,1
176,1
177,X
178,1X
179,9
17X,11
17E,9
180,0
181,8
182,5
183,5
184,13
185,4
186,1
187,X
188,6
189,2
18X,10
18E,3
190,0
191,1
192,10
193,22
194,14
195,22
196,1
197,16
198,7
199,7
19X,14
19E,15
1X0,0
1X1,4
1X2,8
1X3,13
1X4,12
1X5,7
1X6,1
1X7,7
1X8,3
1X9,10
1XX,20
1XE,X
1E0,0
1E1,1E
1E2,16
1E3,15
1E4,5
1E5,1X
1E6,1
1E7,7
1E8,9
1E9,2E
1EX,11
1EE,E
200,0
201,0
202,X
203,10
204,E
205,14
206,0
207,9
208,6
209,8
20X,12
20E,E
210,0
211,14
212,23
213,X
214,9
215,5
216,1
217,E
218,X
219,14
21X,9
21E,9
220,0
221,8
222,1E
223,7
224,14
225,X
226,1
227,7
228,18
229,8
22X,14
22E,E
230,0
231,15
232,1
233,8
234,18
235,13
236,1
237,4
238,7
239,10
23X,4
23E,7
240,0
241,8
242,1E
243,8
244,18
245,X
246,1
247,9
248,5
249,10
24X,11
24E,E
250,0
251,5
252,X
253,13
254,17
255,9
256,1
257,9
258,12
259,15
25X,X
25E,7
260,0
261,11
262,5
263,9
264,9
265,9
266,1
267,17
268,3
269,14
26X,X
26E,11
270,0
271,42
272,16
273,10
274,E
275,9
276,1
277,X
278,14
279,15
27X,X
27E,E
280,0
281,18
282,16
283,5
284,9
285,9
286,1
287,7
288,6
289,1X
28X,7
28E,X
290,0
291,12
292,14
293,7
294,9
295,E
296,1
297,5
298,8
299,4
29X,6
29E,8
2X0,0
2X1,12
2X2,E
2X3,9
2X4,9
2X5,6
2X6,1
2X7,7
2X8,10
2X9,E
2XX,14
2XE,27
2E0,0
2E1,18
2E2,1
2E3,14
2E4,9
2E5,7
2E6,1
2E7,6
2E8,X
2E9,8
2EX,15
2EE,7
300,0
301,0
302,11
303,5
304,7
305,7
306,0
307,1E
308,11
309,10
30X,8
30E,6
310,0
311,4
312,8
313,6
314,9
315,17
316,1
317,15
318,7
319,18
31X,X
31E,5
320,0
321,15
322,6
323,E
324,6
325,6
326,1
327,8
328,E
329,23
32X,8
32E,15
330,0
331,6
332,21
333,8
334,6
335,5
336,1
337,11
338,8
339,9
33X,16
33E,8
340,0
341,18
342,7
343,10
344,E
345,6
346,1
347,9
348,5
349,6
34X,6
34E,7
350,0
351,9
352,X
353,17
354,9
355,7
356,1
357,5
358,3
359,E
35X,12
35E,13
360,0
361,5
362,8
363,E
364,1X
365,6
366,1
367,15
368,10
369,E
36X,9
36E,4
370,0
371,12
372,8
373,11
374,22
375,9
376,1
377,X
378,8
379,11
37X,13
37E,9
380,0
381,E
382,8
383,5
384,17
385,19
386,1
387,4
388,21
389,2
38X,3
38E,6
390,0
391,17
392,18
393,6
394,7
395,9
396,1
397,X
398,7
399,5
39X,10
