[0, 1]: 1
[1, 2]: 1
[1, 3]: 2
[2, 3]: 1
[1, 4]: 2
[3, 4]: 1
[1, 5]: 4
[2, 5]: 1
[3, 5]: 1
[4, 5]: 2
[1, 6]: 2
[5, 6]: 1
[1, 7]: 6
[2, 7]: 2
[3, 7]: 1
[4, 7]: 2
[5, 7]: 1
[6, 7]: 3
[1, 8]: 2
[3, 8]: 1
[5, 8]: 1
[7, 8]: 1
[1, 9]: 6
[2, 9]: 1
[4, 9]: 2
[5, 9]: 1
[7, 9]: 2
[8, 9]: 3
[1, X]: 4
[3, X]: 1
[7, X]: 1
[9, X]: 2
[1, E]: X
[2, E]: 1
[3, E]: 2
[4, E]: 2
[5, E]: 2
[6, E]: 1
[7, E]: 1
[8, E]: 1
[9, E]: 2
[X, E]: 5
[1, 10]: 2
[5, 10]: 1
[7, 10]: 1
[E, 10]: 1
[1, 11]: 10
[2, 11]: 1
[3, 11]: 4
[4, 11]: 2
[5, 11]: 3
[6, 11]: 1
[7, 11]: 1
[8, 11]: 3
[9, 11]: 4
[X, 11]: 2
[E, 11]: 1
[10, 11]: 6
[1, 12]: 6
[3, 12]: 1
[5, 12]: 1
[9, 12]: 2
[E, 12]: 2
[11, 12]: 3
[1, 13]: 4
[2, 13]: 1
[4, 13]: 2
[7, 13]: 1
[8, 13]: 1
[E, 13]: 1
[11, 13]: 1
[12, 13]: 1
[1, 14]: 4
[3, 14]: 1
[5, 14]: 1
[7, 14]: 1
[9, 14]: 2
[E, 14]: 1
[11, 14]: 1
[13, 14]: 1
[1, 15]: 14
[2, 15]: 2
[3, 15]: 1
[4, 15]: 4
[5, 15]: 1
[6, 15]: 1
[7, 15]: 1
[8, 15]: 2
[9, 15]: 2
[X, 15]: 1
[E, 15]: 1
[10, 15]: 1
[11, 15]: 4
[12, 15]: 1
[13, 15]: 2
[14, 15]: 8
[1, 16]: 6
[5, 16]: 1
[7, 16]: 2
[E, 16]: 1
[11, 16]: 2
[15, 16]: 3
[1, 17]: 16
[2, 17]: 1
[3, 17]: 1
[4, 17]: 2
[5, 17]: 2
[6, 17]: 2
[7, 17]: 6
[8, 17]: 3
[9, 17]: 2
[X, 17]: 1
[E, 17]: 6
[10, 17]: 3
[11, 17]: 1
[12, 17]: 1
[13, 17]: 1
[14, 17]: 2
[15, 17]: 2
[16, 17]: 9
[1, 18]: 4
[3, 18]: 1
[7, 18]: 1
[9, 18]: 2
[E, 18]: 1
[11, 18]: 1
[15, 18]: 1
[17, 18]: 1
[1, 19]: 6
[2, 19]: 1
[4, 19]: 2
[5, 19]: 1
[8, 19]: 3
[X, 19]: 1
[E, 19]: 1
[11, 19]: 3
[14, 19]: 2
[15, 19]: 1
[17, 19]: 1
[18, 19]: 3
[1, 1X]: X
[3, 1X]: 2
[5, 1X]: 2
[7, 1X]: 1
[9, 1X]: 2
[11, 1X]: 1
[13, 1X]: 2
[15, 1X]: 1
[17, 1X]: 1
[19, 1X]: 5
[1, 1E]: 1X
[2, 1E]: 2
[3, 1E]: 2
[4, 1E]: 2
[5, 1E]: 1
[6, 1E]: 2
[7, 1E]: 1
[8, 1E]: 2
[9, 1E]: 2
[X, 1E]: 1
[E, 1E]: 1
[10, 1E]: 2
[11, 1E]: 2
[12, 1E]: 1
[13, 1E]: 1
[14, 1E]: 2
[15, 1E]: 1
[16, 1E]: 2
[17, 1E]: 1
[18, 1E]: 1
[19, 1E]: 1
[1X, 1E]: E
[1, 20]: 2
[5, 20]: 1
[7, 20]: 1
[E, 20]: 1
[11, 20]: 1
[15, 20]: 1
[17, 20]: 1
[1E, 20]: 1
[1, 21]: 18
[2, 21]: 1
[3, 21]: 1
[4, 21]: 2
[6, 21]: 4
[7, 21]: 5
[8, 21]: 1
[9, 21]: 2
[E, 21]: 4
[10, 21]: 1
[11, 21]: 1
[12, 21]: 2
[14, 21]: 4
[15, 21]: 1
[16, 21]: 5
[17, 21]: 2
[19, 21]: 4
[1X, 21]: 1
[1E, 21]: 1
[20, 21]: X
[1, 22]: 10
[3, 22]: 4
[5, 22]: 3
[7, 22]: 1
[9, 22]: 4
[E, 22]: 1
[13, 22]: 1
[15, 22]: 2
[17, 22]: 1
[19, 22]: 3
[1E, 22]: 2
[21, 22]: 6
[1, 23]: 16
[2, 23]: 1
[4, 23]: 2
[5, 23]: 1
[7, 23]: 2
[8, 23]: 3
[X, 23]: 6
[E, 23]: 1
[11, 23]: 2
[12, 23]: 1
[14, 23]: 2
[15, 23]: 3
[17, 23]: 6
[18, 23]: 1
[1X, 23]: 2
[1E, 23]: 1
[21, 23]: 2
[22, 23]: 9
[1, 24]: 6
[3, 24]: 1
[5, 24]: 1
[9, 24]: 2
[E, 24]: 1
[11, 24]: 3
[13, 24]: 3
[15, 24]: 1
[17, 24]: 1
[1E, 24]: 1
[21, 24]: 2
[23, 24]: 3
[1, 25]: 24
[2, 25]: 1
[3, 25]: 1
[4, 25]: 2
[5, 25]: 2
[6, 25]: 2
[7, 25]: 4
[8, 25]: 1
[9, 25]: 2
[X, 25]: 1
[E, 25]: 1
[10, 25]: 7
[11, 25]: 2
[12, 25]: 1
[13, 25]: 1
[14, 25]: 4
[15, 25]: 7
[16, 25]: 1
[17, 25]: 1
[18, 25]: 4
[19, 25]: 1
[1X, 25]: 2
[1E, 25]: 4
[20, 25]: 4
[21, 25]: 4
[22, 25]: 1
[23, 25]: 1
[24, 25]: 12
[1, 26]: 4
[7, 26]: 1
[E, 26]: 1
[11, 26]: 1
[15, 26]: 1
[17, 26]: 2
[1E, 26]: 1
[25, 26]: 1
[1, 27]: 26
[2, 27]: 6
[3, 27]: 1
[4, 27]: 6
[5, 27]: X
[6, 27]: 5
[7, 27]: 2
[8, 27]: 6
[9, 27]: 2
[X, 27]: 2
[E, 27]: 1
[10, 27]: 1
[11, 27]: 1
[12, 27]: 2
[13, 27]: 3
[14, 27]: 6
[15, 27]: 1
[16, 27]: 2
[17, 27]: 2
[18, 27]: 2
[19, 27]: 1
[1X, 27]: 1
[1E, 27]: 3
[20, 27]: 1
[21, 27]: X
[22, 27]: 5
[23, 27]: 3
[24, 27]: 2
[25, 27]: 3
[26, 27]: 13
[1, 28]: 8
[3, 28]: 1
[5, 28]: 1
[7, 28]: 1
[9, 28]: 2
[E, 28]: 1
[11, 28]: 1
[13, 28]: 1
[15, 28]: 4
[17, 28]: 1
[19, 28]: 1
[1E, 28]: 1
[21, 28]: 2
[23, 28]: 1
[25, 28]: 1
[27, 28]: 1
[1, 29]: X
[2, 29]: 1
[4, 29]: 2
[5, 29]: 1
[7, 29]: 1
[8, 29]: 1
[X, 29]: 5
[11, 29]: 1
[12, 29]: 1
[14, 29]: 2
[15, 29]: 1
[17, 29]: 1
[18, 29]: 1
[1E, 29]: 5
[21, 29]: 2
[22, 29]: 1
[24, 29]: 1
[25, 29]: 1
[27, 29]: 2
[28, 29]: 5
[1, 2X]: 14
[3, 2X]: 1
[5, 2X]: 1
[7, 2X]: 1
[9, 2X]: 2
[E, 2X]: 1
[11, 2X]: 4
[13, 2X]: 2
[17, 2X]: 2
[19, 2X]: 4
[1E, 2X]: 1
[21, 2X]: 2
[23, 2X]: 1
[25, 2X]: 1
[27, 2X]: 1
[29, 2X]: 8
[1, 2E]: 10
[2, 2E]: 1
[3, 2E]: 1
[4, 2E]: 2
[6, 2E]: 3
[8, 2E]: 3
[9, 2E]: 2
[E, 2E]: 4
[10, 2E]: 1
[11, 2E]: 3
[14, 2E]: 4
[15, 2E]: 1
[16, 2E]: 1
[17, 2E]: 1
[1X, 2E]: 3
[1E, 2E]: 1
[20, 2E]: 1
[22, 2E]: 1
[23, 2E]: 3
[25, 2E]: 6
[27, 2E]: 1
[28, 2E]: 1
[29, 2E]: 1
[2X, 2E]: 3
[1, 30]: 6
[5, 30]: 1
[7, 30]: 1
[E, 30]: 1
[11, 30]: 2
[15, 30]: 3
[17, 30]: 3
[1E, 30]: 1
[21, 30]: 2
[25, 30]: 1
[27, 30]: 1
[2E, 30]: 3
[1, 31]: 30
[2, 31]: 1
[3, 31]: 2
[4, 31]: 2
[5, 31]: 1
[6, 31]: 9
[7, 31]: 4
[8, 31]: 3
[9, 31]: 4
[X, 31]: 10
[E, 31]: 6
[10, 31]: 4
[11, 31]: 1
[12, 31]: 3
[13, 31]: 1
[14, 31]: 4
[15, 31]: 1
[16, 31]: 1
[17, 31]: 1
[18, 31]: 1
[19, 31]: 2
[1X, 31]: 1
[1E, 31]: 3
[20, 31]: 1
[21, 31]: 2
[22, 31]: 10
[23, 31]: 6
[24, 31]: 2
[25, 31]: 3
[26, 31]: 2
[27, 31]: 9
[28, 31]: 1
[29, 31]: 4
[2X, 31]: 4
[2E, 31]: 1
[30, 31]: 16
[1, 32]: 16
[3, 32]: 1
[5, 32]: 2
[7, 32]: 6
[9, 32]: 2
[E, 32]: 6
[11, 32]: 1
[13, 32]: 1
[15, 32]: 2
[19, 32]: 1
[1E, 32]: 2
[21, 32]: 2
[23, 32]: 3
[25, 32]: 1
[27, 32]: 3
[29, 32]: 1
[2E, 32]: 2
[31, 32]: 9
[1, 33]: 10
[2, 33]: 1
[4, 33]: 2
[5, 33]: 3
[7, 33]: 1
[8, 33]: 3
[X, 33]: 2
[E, 33]: 1
[12, 33]: 3
[14, 33]: 4
[15, 33]: 1
[17, 33]: 1
[18, 33]: 1
[1X, 33]: 4
[1E, 33]: 1
[21, 33]: 6
[24, 33]: 1
[25, 33]: 1
[27, 33]: 3
[28, 33]: 1
[2X, 33]: 3
[2E, 33]: 1
[31, 33]: 1
[32, 33]: 3
[1, 34]: 4
[3, 34]: 1
[7, 34]: 1
[9, 34]: 2
[E, 34]: 1
[11, 34]: 1
[15, 34]: 1
[17, 34]: 1
[19, 34]: 1
[1E, 34]: 1
[23, 34]: 1
[25, 34]: 1
[27, 34]: 1
[29, 34]: 1
[31, 34]: 1
[33, 34]: 1
[1, 35]: 34
[2, 35]: 2
[3, 35]: 5
[4, 35]: 4
[5, 35]: 2
[6, 35]: 1
[7, 35]: 1
[8, 35]: 2
[9, 35]: X
[X, 35]: 8
[E, 35]: 1
[10, 35]: 1
[11, 35]: 1
[12, 35]: 5
[13, 35]: 1
[14, 35]: 8
[15, 35]: 1
[16, 35]: 8
[17, 35]: 1
[18, 35]: 2
[19, 35]: 2
[1X, 35]: 1
[1E, 35]: 4
[20, 35]: 1
[21, 35]: 4
[22, 35]: 1
[23, 35]: 5
[24, 35]: 1
[25, 35]: 1
[26, 35]: 1
[27, 35]: 4
[28, 35]: X
[29, 35]: 2
[2X, 35]: 1
[2E, 35]: 1
[30, 35]: 2
[31, 35]: 8
[32, 35]: 5
[33, 35]: 2
[34, 35]: 18
[1, 36]: 6
[5, 36]: 1
[E, 36]: 1
[11, 36]: 3
[15, 36]: 1
[17, 36]: 1
[1E, 36]: 1
[21, 36]: 2
[25, 36]: 3
[27, 36]: 1
[31, 36]: 2
[35, 36]: 3
[1, 37]: 36
[2, 37]: 3
[3, 37]: 1
[4, 37]: 6
[5, 37]: 1
[6, 37]: 12
[7, 37]: 7
[8, 37]: 3
[9, 37]: 2
[X, 37]: 2
[E, 37]: 6
[10, 37]: 1
[11, 37]: 2
[12, 37]: 2
[13, 37]: 2
