1,1
2,2
3,6
4,10
5,50
6,50
7,2E0
8,5X0
9,1560
X,1560
E,14060
10,14060
11,154660
12,154660
13,154660
14,2X9100
15,412X500
16,412X500
17,65E65E00
18,65E65E00
19,65E65E00
1X,65E65E00
1E,1055154100
20,1055154100
21,5231728500
22,5231728500
23,13694981300
24,13694981300
25,317487470300
26,317487470300
27,8121230X17900
28,14242461833600
29,14242461833600
2X,14242461833600
2E,14242461833600
30,14242461833600
31,41E2E3XE2619600
32,41E2E3XE2619600
33,41E2E3XE2619600
34,41E2E3XE2619600
35,12275084437015600
36,12275084437015600
37,42E4715E74X1528600
38,42E4715E74X1528600
39,42E4715E74X1528600
3X,42E4715E74X1528600
3E,14766EXX45EE77573600
40,14766EXX45EE77573600
41,984X0E4075E954330600
42,984X0E4075E954330600
43,984X0E4075E954330600
44,984X0E4075E954330600
45,36X14620X915087X452600
46,36X14620X915087X452600
47,36X14620X915087X452600
48,36X14620X915087X452600
49,36X14620X915087X452600
4X,36X14620X915087X452600
4E,1567892424X9EX667E973600
50,1567892424X9EX667E973600
51,7529368E42E09473X6EX09600
52,7529368E42E09473X6EX09600
53,7529368E42E09473X6EX09600
54,12X56715X85X1692791E817000
55,12X56715X85X1692791E817000
56,12X56715X85X1692791E817000
57,6E04E993X9476895942024X1000
58,6E04E993X9476895942024X1000
59,6E04E993X9476895942024X1000
5X,6E04E993X9476895942024X1000
5E,34E355XX209648X01237E2277E000
60,34E355XX209648X01237E2277E000
61,1890804XEX69EX98X7303306071E000
62,1890804XEX69EX98X7303306071E000
63,1890804XEX69EX98X7303306071E000
64,1890804XEX69EX98X7303306071E000
65,1890804XEX69EX98X7303306071E000
66,1890804XEX69EX98X7303306071E000
67,E4774X84426E9421598X95039E175000
68,E4774X84426E9421598X95039E175000
69,2X1XX2811078E40645528430E594X3000
6X,2X1XX2811078E40645528430E594X3000
6E,17832085E6356X4E80971795375006X9000
70,17832085E6356X4E80971795375006X9000
71,17832085E6356X4E80971795375006X9000
72,17832085E6356X4E80971795375006X9000
73,17832085E6356X4E80971795375006X9000
74,17832085E6356X4E80971795375006X9000
75,10203633025783E2X69E1E2903X0143189000
76,10203633025783E2X69E1E2903X0143189000
77,10203633025783E2X69E1E2903X0143189000
78,10203633025783E2X69E1E2903X0143189000
79,10203633025783E2X69E1E2903X0143189000
7X,10203633025783E2X69E1E2903X0143189000
7E,10203633025783E2X69E1E2903X0143189000
80,10203633025783E2X69E1E2903X0143189000
81,8244458347E7239X35232792E6EXXE54E89000
82,8244458347E7239X35232792E6EXXE54E89000
83,8244458347E7239X35232792E6EXXE54E89000
84,8244458347E7239X35232792E6EXXE54E89000
85,58EX897X86307661E6X811349E5X2X246X879000
86,58EX897X86307661E6X811349E5X2X246X879000
87,4142116X8E18248XXX41756025572X565320263000
88,4142116X8E18248XXX41756025572X565320263000
89,4142116X8E18248XXX41756025572X565320263000
8X,4142116X8E18248XXX41756025572X565320263000
8E,308028105974014352X2X56079X8E67344E2EX589000
90,308028105974014352X2X56079X8E67344E2EX589000
91,2390X03554837503E26E00EEEE0X74E0170X21X2059000
92,2390X03554837503E26E00EEEE0X74E0170X21X2059000
93,2390X03554837503E26E00EEEE0X74E0170X21X2059000
94,2390X03554837503E26E00EEEE0X74E0170X21X2059000
95,19944X48639220X410731794EE333E9382E6EX3492619000
96,19944X48639220X410731794EE333E9382E6EX3492619000
97,19944X48639220X410731794EE333E9382E6EX3492619000
98,19944X48639220X410731794EE333E9382E6EX3492619000
99,19944X48639220X410731794EE333E9382E6EX3492619000
9X,19944X48639220X410731794EE333E9382E6EX3492619000
9E,19944X48639220X410731794EE333E9382E6EX3492619000
X0,19944X48639220X410731794EE333E9382E6EX3492619000
X1,17E705639954EX958E67X6176E40079646874X51453773000
X2,17E705639954EX958E67X6176E40079646874X51453773000
X3,17E705639954EX958E67X6176E40079646874X51453773000
X4,17E705639954EX958E67X6176E40079646874X51453773000
X5,839E23770E30E5E489934681X88032E7X9710416X26203000
X6,839E23770E30E5E489934681X88032E7X9710416X26203000
X7,740615453XE1717E713529284058XX454735EX7876073479000
X8,128102X8X79X3233E226X565480E5988X926EE93530126936000
X9,128102X8X79X3233E226X565480E5988X926EE93530126936000
XX,128102X8X79X3233E226X565480E5988X926EE93530126936000
XE,114231773034709X3E1210254X02545251672496463X12EE526000
E0,114231773034709X3E1210254X02545251672496463X12EE526000
E1,114231773034709X3E1210254X02545251672496463X12EE526000
E2,114231773034709X3E1210254X02545251672496463X12EE526000
E3,114231773034709X3E1210254X02545251672496463X12EE526000
E4,114231773034709X3E1210254X02545251672496463X12EE526000
E5,10849997996274846X984973E8243E37486842489981X43256566000
E6,10849997996274846X984973E8243E37486842489981X43256566000
E7,10313986965303750EE24373E03E417XX7716878X17156E5161X236000
E8,10313986965303750EE24373E03E417XX7716878X17156E5161X236000
E9,10313986965303750EE24373E03E417XX7716878X17156E5161X236000
EX,10313986965303750EE24373E03E417XX7716878X17156E5161X236000
EE,10313986965303750EE24373E03E417XX7716878X17156E5161X236000
100,10313986965303750EE24373E03E417XX7716878X17156E5161X236000
