4,1
6,7
8,0
9,8
X,E
10,0
12,13
13,4
14,0
16,0
18,0
19,18
1X,1E
20,0
21,16
22,23
23,0
24,0
26,0
28,0
29,X2
2X,403
2E,6
30,0
32,33
33,32
34,0
36,0
38,0
39,0
3X,3E
40,0
41,26
42,0
43,44
44,0
46,0
47,46
48,0
49,4X
4X,E83
50,0
52,53
53,0
54,0
55,10
56,0
58,0
59,5X
5X,0
60,0
62,63
63,0
64,0
65,66
66,0
68,0
69,0
6X,2293
70,0
71,60
72,73
73,74
74,0
76,0
77,3
78,0
79,7E8
7X,339E
7E,1320
80,0
82,0
83,0
84,0
86,0
88,0
89,0
8X,3753
90,0
92,0
93,92
94,0
96,0
97,990
98,0
99,0
9X,4X23
9E,1EE6
X0,0
X1,XX
X2,4893
X3,102X
X4,0
X5,0
X6,0
X8,0
X9,36E
XX,0
E0,0
E1,86
E2,E3
E3,0
E4,0
E6,0
E8,0
E9,E8
EX,8963
EE,3X80
100,0
101,116
102,103
103,0
104,0
106,0
108,0
109,0
10X,0
10E,110
110,0
112,770E
113,112
114,0
115,8E3
116,0
118,0
119,0
11X,1260E
120,0
121,106
122,0
123,0
124,0
126,0
127,0
128,0
129,2844
12X,X73E
130,0
132,0
133,347E
134,0
135,170
136,0
137,47X0
138,0
139,0
13X,0
140,0
142,E693
143,0
144,0
146,0
148,0
149,148
14X,17633
14E,4670
150,0
151,36
152,1591E
153,0
154,0
155,156
156,0
158,0
159,4294
15X,16553
15E,8406
160,0
161,130
162,15653
163,3102
164,0
165,1073
166,0
168,0
169,0
16X,2203E
170,0
172,0
173,0
174,0
176,0
177,2213
178,0
179,17X
17X,0
180,0
182,0
183,0
184,0
185,0
186,0
187,410
188,0
189,47XX
18X,0
190,0
191,6366
192,16803
193,0
194,0
196,0
197,216
198,0
199,0
19X,18933
1X0,0
1X1,906
1X2,0
1X3,X2EX
1X4,0
1X6,0
1X8,0
1X9,0
1XX,2484E
1XE,0
1E0,0
1E2,20363
1E3,0
1E4,0
1E6,0
1E8,0
1E9,0
1EX,5353
1EE,8976
200,0
201,2E0
202,0
203,141E
204,0
206,0
207,110E0
208,0
209,0
20X,39433
20E,12E46
210,0
211,242
212,27773
213,602X
214,0
215,17X0
216,0
218,0
219,218
21X,0
220,0
222,32413
223,0
224,0
226,0
227,4620
228,0
229,X114
22X,0
22E,2X910
230,0
231,0
232,4059E
233,607E
234,0
235,E746
236,0
238,0
239,0
23X,46393
23E,3550
240,0
242,0
243,837X
244,0
245,2
246,0
247,0
248,0
249,0
24X,45X43
250,0
252,0
253,0
254,0
256,0
257,9X3
258,0
259,0
25X,3X24E
260,0
261,XX0
262,4X043
263,0
264,0
265,1833
266,0
268,0
269,0
26X,0
26E,132E0
270,0
272,0
273,0
274,0
275,5X0
276,0
278,0
279,12228
27X,27E
280,0
281,460
282,123943
283,0
284,0
286,0
287,34E56
288,0
289,116X2
28X,67153
28E,19E3
290,0
292,53973
293,0
294,0
296,0
297,34X
298,0
299,0
29X,0
29E,1X73
2X0,0
2X2,0
2X3,20994
