1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
X,1
E,1
10,0
11,1
12,21
13,25
14,31
15,1X
16,41
17,58
18,25
19,1E
1X,15
1E,E
20,0
21,12
22,1
23,15
24,1X
25,5
26,25
27,7
28,18
29,13
2X,E
2E,X
30,0
31,13
32,2X
33,1
34,14
35,5
36,19
37,14
38,12
39,E
3X,19
3E,99
40,0
41,15
42,7
43,9
44,1
45,5
46,15
47,9
48,E
49,21
4X,5
4E,9
50,0
51,18
52,13
53,9
54,X
55,1
56,13
57,E
58,17
59,7
5X,5
5E,88
60,0
61,1E
62,8
63,17
64,15
65,8
66,1
67,11
68,8
69,7
6X,5
6E,8
70,0
71,341
72,8
73,5
74,7
75,8
76,E
77,1
78,11
79,X
7X,99
7E,13
80,0
81,5E3
82,9
83,5
84,7
85,E
86,9
87,197
88,1
89,11
8X,9
8E,7
90,0
91,124X
92,9
93,5
94,E
95,12
96,77
97,207
98,5
99,1
9X,11
9E,7
X0,0
X1,123456789E
X2,X
X3,E
X4,4X1
X5,26X
X6,7
X7,2442
X8,5
X9,387
XX,1
XE,11
E0,0
E1,11
E2,E
E3,66
E4,44
E5,33
E6,7
E7,22
E8,5
E9,33
EX,44
EE,1
100,0
101,1
102,201
103,6
104,4
105,3
106,5X3
107,2
108,77
109,3
10X,4
10E,6
110,0
111,1
112,211
113,6
114,4
115,3
116,55
117,2
118,77
119,3
11X,4
11E,6
120,0
121,1
122,221
123,77
124,4
125,3
126,5
127,2
128,7
129,3
12X,4
12E,12E
130,0
131,1
132,17
133,77
134,347
135,3
136,5
137,2
138,318
139,3
13X,77
13E,55
140,0
141,1
142,362
143,7
144,334
145,155
146,5
147,2
148,30E
149,24E
14X,77
14E,5
150,0
151,1
152,197
153,231
154,2X
155,77
156,443
157,2
158,2E2
159,217
15X,7
15E,5
160,0
161,1
162,725
163,241
164,55
165,1X
166,3E1
167,259
168,278
169,20E
16X,7
16E,5
170,0
171,1
172,439
173,1E9
174,5
175,7
176,39
177,132
178,288
179,1E3
17X,18E
17E,14X
180,0
181,1
182,18293X4E607
183,205
184,5
185,7
186,37E
187,7
188,25E
189,55
18X,135
18E,9E
190,0
191,1
192,1221
193,195
194,5
195,85
196,349
197,87
198,25
199,5
19X,145
19E,288
1X0,0
1X1,1
1X2,11
1X3,175
1X4,224
1X5,44
1X6,33
1X7,152
1X8,22
1X9,5
1XX,33
1XE,44
1E0,0
1E1,1
1E2,11
1E3,179
1E4,214
1E5,44
1E6,33
1E7,189
1E8,22
1E9,5
1EX,15
1EE,44
200,0
201,102
202,1
203,1E9
204,201
205,4
206,3
207,55
208,2
209,33X
20X,3
20E,4
210,0
211,112
212,1
213,185
214,1E4
215,4
216,3
217,55
218,2
219,1X3
21X,3
21E,4
220,0
221,122
222,1
223,155
224,1X4
225,4
226,3
227,5
228,2
229,15E
22X,3
22E,4
230,0
231,12
232,1
233,15179
234,1X7
235,75
236,3
237,5
238,2
239,147
23X,3
23E,227
240,0
241,132
242,1
243,159
244,1881
245,163
246,26E
247,5
248,2
249,143
24X,2X9
24E,12X
250,0
251,173
252,1
253,15
254,181
255,221
256,27E
257,20E
258,2
259,167
25X,194
25E,11X
260,0
261,2E7
262,1
263,15X26E38049
264,17
265,805
266,255
267,67
268,18E
269,25X
26X,X5
26E,4E
270,0
271,9E2
272,1
273,11E45
274,16X
275,5
276,253
277,112
278,168
279,2376
27X,17X
27E,256
280,0
281,51
282,1
283,232
284,191
285,85
286,23
287,X2
288,178
289,133
28X,XE
28E,266
290,0
291,51
292,1
293,11
294,174
295,65
296,231
297,7
298,15E
299,22
29X,X5
29E,33
2X0,0
2X1,E2
2X2,1
2X3,11
2X4,154
2X5,45
2X6,237
2X7,33
2X8,15
2X9,22
2XX,223
2XE,33
2E0,0
2E1,61
2E2,1
2E3,11
2E4,157
2E5,113
2E6,215
2E7,33
2E8,152
2E9,13
2EX,14X
2EE,33
300,0
301,61
302,2E4
303,1
304,14161
305,EX
306,203
307,3
308,14E
309,2
30X,E
30E,3
310,0
311,113
312,168
313,1
314,13X
315,1023
316,1E5
317,3
318,138
319,2
31X,8E
31E,3
320,0
321,195
322,213
323,1
324,27E
325,75
326,1E9
327,3
328,135
329,2
32X,75
32E,3
330,0
331,82
332,77
333,1
334,144
335,171
336,1E3
337,3
338,13E
339,2
33X,85
33E,3
340,0
341,14
342,128
343,1
344,147E259036X
345,123
346,1X9
347,134
348,145
349,2
34X,258
34E,235
350,0
351,92
352,7
353,1
354,14X
355,113
356,18E
357,37
358,14E
359,2
35X,9E
35E,215
360,0
361,103
362,138
363,1
364,1177
365,7X
366,19E
367,221
368,12E
369,281
36X,85
36E,167
370,0
371,134
372,87
373,1
374,14
375,9X
376,1839
377,67
378,128
379,1XX
