1,1,3
2,1,2
3,2,1
4,1,1
5,2,4
6,1,1
7,4,2
8,2,1
9,2,2
X,1,2
E,2,4
10,1,1
11,4,8
12,2,1
13,2,2
14,1,2
15,6,4
16,1,1
17,X,2
18,2,1
19,2,2
1X,1,2
1E,2,6
20,3,1
21,4,6
22,2,4
23,4,2
24,1,3
25,2,6
26,1,1
27,X,2
28,3,1
29,2,4
2X,3,2
2E,2,4
30,1,2
31,4,2
32,5,1
33,2,6
34,1,2
35,2,4
36,1,1
37,4,6
38,2,1
39,4,2
3X,1,3
3E,6,6
40,2,1
41,4,2
42,2,3
43,2,2
44,1,2
45,2,4
46,2,1
47,6,2
48,2,3
49,4,2
4X,1,3
4E,10,6
50,1,1
51,6,8
52,5,1
53,2,4
54,3,2
55,2,6
56,1,2
57,4,6
58,2,1
59,2,2
5X,1,2
5E,8,4
60,1,1
61,4,12
62,2,1
63,2,2
64,3,2
65,6,4
66,1,3
67,4,2
68,3,1
69,2,8
6X,1,2
6E,2,4
70,4,1
71,10,6
72,2,3
73,4,2
74,1,3
75,2,14
76,2,1
77,6,2
78,3,4
79,4,6
7X,3,3
7E,2,4
80,1,2
81,4,2
82,2,1
83,2,2
84,1,2
85,6,X
86,1,1
87,6,6
88,3,1
89,2,4
8X,1,2
8E,6,6
90,1,1
91,X,6
92,3,1
93,2,4
94,1,2
95,2,6
96,2,1
97,4,2
98,2,3
99,8,2
9X,6,3
9E,2,10
X0,2,2
X1,6,2
X2,3,4
X3,6,4
X4,3,5
X5,2,4
X6,1,2
X7,4,6
X8,2,1
X9,8,2
XX,1,3
XE,2,4
E0,3,1
E1,10,6
E2,2,3
E3,2,2
E4,1,2
E5,6,4
E6,1,1
E7,4,2
E8,2,1
E9,2,2
EX,4,2
EE,6,4
100,3,3
101,X,12
102,2,7
103,6,2
104,1,3
105,8,X
106,1,1
107,6,10
108,3,1
109,2,8
10X,3,2
10E,2,4
110,1,2
111,X,2
112,2,1
113,18,2
114,4,3
115,6,4
116,1,4
117,4,6
118,5,1
119,2,4
11X,1,2
11E,12,X
120,2,1
121,4,2
122,6,3
123,10,4
124,1,5
125,2,4
126,2,1
127,4,2
128,2,7
129,4,2
12X,1,8
12E,2,X
130,1,1
131,6,8
132,3,1
133,2,6
134,7,2
135,8,4
136,2,3
137,6,2
138,5,3
139,2,8
13X,1,2
13E,2,1X
140,1,1
141,4,8
142,2,1
143,6,2
144,1,3
145,16,4
146,1,1
147,4,2
148,2,1
149,8,2
14X,3,5
14E,10,4
150,2,5
151,4,2
152,3,3
153,4,4
154,6,5
155,2,X
156,1,2
157,X,2
158,5,1
159,4,6
15X,3,3
15E,2,4
160,2,2
161,6,2
162,5,3
163,2,1X
164,3,2
165,2,4
166,1,2
167,10,8
168,2,1
169,8,2
16X,1,3
16E,20,4
170,1,1
171,10,2
172,2,1
173,2,2
174,1,2
175,2,14
176,4,1
177,4,6
178,3,11
179,6,4
17X,1,6
17E,2,6
180,1,1
181,6,12
182,3,1
183,2,4
184,3,2
185,2,10
186,3,2
187,6,6
188,6,3
189,2,6
18X,1,2
18E,2,10
190,3,1
191,4,12
192,2,3
193,4,2
194,1,5
195,6,10
196,4,1
197,X,6
198,2,4
199,2,2
19X,1,2
19E,6,4
1X0,5,1
1X1,4,12
1X2,6,3
1X3,4,6
1X4,1,6
1X5,8,6
1X6,1,1
1X7,6,2
1X8,5,1
1X9,2,4
1XX,3,2
1XE,10,X
1E0,1,3
1E1,4,10
1E2,2,1
1E3,4,2
1E4,1,3
1E5,2,4
1E6,1,1
1E7,6,6
1E8,2,1
1E9,2,2
1EX,3,2
1EE,6,6
200,2,3
201,10,2
202,5,7
203,6,4
204,1,5
205,2,4
206,3,1
207,4,10
208,2,3
209,6,2
20X,4,5
20E,2,14
210,2,2
211,X,2
212,3,6
213,2,8
214,4,2
215,6,X
216,1,4
217,4,2
218,2,1
219,2,2
21X,1,2
21E,6,X
220,1,1
221,6,6
222,5,1
223,2,4
224,1,2
225,22,6
226,X,1
227,4,6
228,2,4
229,2,2
22X,3,2
22E,2,4
230,4,2
231,4,6
232,2,3
233,8,2
234,7,3
235,2,6
236,1,2
237,6,2
238,3,1
239,6,6
23X,7,5
23E,6,10
240,1,7
241,X,2
242,2,1
243,8,2
244,3,3
245,2,10
246,6,2
247,4,12
248,3,3
249,2,6
24X,1,2
24E,6,6
250,1,1
251,X,8
252,2,1
253,X,2
254,1,5
255,12,X
256,2,1
257,6,2
258,3,4
259,4,4
25X,1,5
25E,2,6
260,5,1
261,26,8
262,3,4
263,2,4
264,3,2
265,16,4
266,1,3
267,6,2
268,9,1
269,2,6
26X,4,2
26E,2,4
270,1,2
271,4,6
272,3,1
273,2,4
274,3,2
275,12,X
276,1,4
277,10,2
278,2,1
279,6,2
27X,1,E
27E,10,4
280,2,1
281,6,2
282,2,4
283,4,2
284,1,3
285,20,6
286,3,1
287,6,10
288,8,4
289,2,4
28X,9,2
28E,6,4
290,1,3
291,6,6
292,2,1
293,4,2
294,1,5
295,8,1X
296,4,1
297,4,6
298,2,6
299,2,2
29X,6,2
29E,8,4
2X0,1,3
2X1,4,8
2X2,2,1
2X3,2,2
2X4,3,2
2X5,2,6
2X6,2,2
2X7,24,2
2X8,3,4
2X9,4,4
2XX,1,5
2XE,2,14
2E0,1,1
2E1,X,10
2E2,5,1
2E3,4,X
2E4,4,6
2E5,6,4
2E6,2,3
2E7,4,2
2E8,2,3
2E9,2,2
2EX,1,2
2EE,2,4
300,1,1
301,4,8
302,3,1
303,4,6
304,6,3
305,16,4
306,1,E
307,X,2
308,2,1
309,2,2
30X,1,2
30E,2,6
310,4,1
311,6,8
312,6,4
313,4,4
314,1,5
315,8,6
316,4,1
317,6,8
318,6,6
319,2,4
31X,10,2
31E,2,6
320,1,2
321,26,6
322,6,1
323,2,6
324,1,2
325,6,10
326,1,1
327,10,6
328,2,1
329,4,2
32X,1,8
32E,6,4
330,2,1
331,4,2
332,2,3
333,8,2
334,4,12
335,2,6
336,3,2
337,4,20
338,2,3
339,12,2
33X,1,3
33E,8,X
340,7,1
341,6,8
342,3,7
343,2,4
344,3,2
345,2,6
346,1,2
347,4,10
348,2,1
349,10,2
34X,1,6
34E,2,X
350,6,1
351,4,6
352,3,3
353,2,4
354,3,2
355,12,4
356,1,3
357,4,2
358,6,1
359,X,4
35X,1,6
35E,6,4
360,2,1
361,X,2
362,2,7
363,4,2
364,1,3
365,2,16
366,2,1
367,6,2
368,13,7
369,4,18
36X,3,6
36E,2,6
370,2,2
371,4,2
372,5,3
373,2,X
374,1,2
375,28,4
376,1,1
377,X,6
378,2,1
379,2,2
37X,3,2
37E,6,10
380,4,3
381,20,8
382,2,7
383,2,2
384,3,2
385,10,4
386,2,3
387,4,2
388,3,3
389,8,6
38X,4,3
38E,10,14
390,1,3
391,16,8
392,3,1
393,2,6
394,X,2
395,2,4
396,1,2
397,X,2
398,2,1
399,12,2
39X,6,5
39E,2,4
3X0,3,2
3X1,4,8
3X2,2,6
3X3,4,2
3X4,1,3
3X5,6,X
3X6,2,1
3X7,4,2
3X8,5,4
3X9,2,4
3XX,1,2
3XE,12,4
3E0,2,1
