1,4 = 2^2
2,245 = E * 27
3,77 = 7 * 11
4,13 = 3 * 5
5,X4 = 2^2 * 27
6,2E = 5 * 7
7,21 = 5^2
8,9 = 3^2
9,24 = 2^2 * 7
X,29 = 3 * E
E,13 = 3 * 5
10,55 = 5 * 11
11,19 = 3 * 7
12,13 = 3 * 5
13,245 = E * 27
14,43 = 3 * 15
15,39 = 3^2 * 5
16,21 = 5^2
17,39 = 3^2 * 5
18,19 = 3 * 7
19,47 = 5 * E
1X,59 = 3 * 1E
1E,29 = 3 * E
20,21 = 5^2
21,24 = 2^2 * 7
22,23 = 3^3
23,55 = 5 * 11
24,39 = 3^2 * 5
25,2E = 5 * 7
26,41 = 7^2
27,41 = 7^2
28,29 = 3 * E
29,71 = 5 * 15
2X,2E = 5 * 7
2E,43 = 3 * 15
30,77 = 7 * 11
31,39 = 3^2 * 5
32,33 = 3 * 11
33,7E = 5 * 17
34,77 = 7 * 11
35,89 = 3 * 5 * 7
36,151 = 5 * 35
37,65 = 7 * E
38,39 = 3^2 * 5
39,64 = 2^2 * 17
3X,E1 = 7 * 17
3E,55 = 5 * 11
40,41 = 7^2
41,56 = 2 * 3 * E
42,43 = 3 * 15
43,55 = 5 * 11
44,71 = 5 * 15
45,55 = 5 * 11
46,47 = 5 * E
47,53 = 3^2 * 7
48,49 = 3 * 17
49,55 = 5 * 11
4X,E1 = 7 * 17
4E,73 = 3 * 25
50,245 = E * 27
51,77 = 7 * 11
52,53 = 3^2 * 7
53,245 = E * 27
54,55 = 5 * 11
55,94 = 2^4 * 7
56,77 = 7 * 11
57,71 = 5 * 15
58,59 = 3 * 1E
59,71 = 5 * 15
5X,121 = 11^2
5E,89 = 3 * 5 * 7
60,71 = 5 * 15
61,93 = 3 * 31
62,63 = 3 * 5^2
63,77 = 7 * 11
64,65 = 7 * E
65,187 = 11 * 17
66,245 = E * 27
67,77 = 7 * 11
68,69 = 3^4
69,71 = 5 * 15
6X,77 = 7 * 11
6E,89 = 3 * 5 * 7
70,71 = 5 * 15
71,X9 = 3 * 37
72,73 = 3 * 25
73,77 = 7 * 11
74,77 = 7 * 11
75,83 = 3^2 * E
76,77 = 7 * 11
77,97 = 5 * 1E
78,79 = 3 * 27
79,211 = 7 * 37
7X,7E = 5 * 17
7E,E9 = 3 * 3E
80,E1 = 7 * 17
81,89 = 3 * 5 * 7
82,83 = 3^2 * E
83,101 = 5 * 25
84,109 = 3^2 * 15
85,127 = 5^2 * 7
86,E1 = 7 * 17
87,E1 = 7 * 17
88,89 = 3 * 5 * 7
89,317 = E * 35
8X,E1 = 7 * 17
8E,E1 = 7 * 17
90,245 = E * 27
91,99 = 3^2 * 11
92,93 = 3 * 31
93,13X = 2 * 5 * 17
94,X1 = E^2
95,E1 = 7 * 17
96,97 = 5 * 1E
97,E1 = 7 * 17
98,99 = 3^2 * 11
99,101 = 5 * 25
9X,9E = 7 * 15
9E,129 = 3 * 4E
X0,X1 = E^2
X1,E1 = 7 * 17
X2,X3 = 3 * 35
X3,161 = 7 * 27
X4,X5 = 5^3
X5,E1 = 7 * 17
X6,187 = 11 * 17
X7,109 = 3^2 * 15
X8,X9 = 3 * 37
X9,161 = 7 * 27
XX,161 = 7 * 27
XE,EE = E * 11
E0,E1 = 7 * 17
E1,101 = 5 * 25
E2,E3 = 3^3 * 5
E3,165 = 11 * 15
E4,1X1 = 5 * 45
E5,104 = 2^2 * 31
E6,197 = 7 * 31
E7,115 = 7 * 1E
E8,E9 = 3 * 3E
E9,257 = 5 * 5E
EX,EE = E * 11
EE,159 = 3 * 5E
100,101 = 5 * 25
101,109 = 3^2 * 15
102,103 = 3 * 7^2
103,121 = 11^2
104,173 = 3 * 7 * E
105,127 = 5^2 * 7
106,121 = 11^2
107,127 = 5^2 * 7
108,109 = 3^2 * 15
109,155 = E * 17
10X,10E = 5 * 27
10E,173 = 3 * 7 * E
110,161 = 7 * 27
111,136 = 2 * 3 * 27
112,113 = 3 * 45
113,187 = 11 * 17
114,115 = 7 * 1E
115,13X = 2 * 5 * 17
116,341 = 11 * 31
117,136 = 2 * 3 * 27
118,119 = 3 * 5 * E
119,124 = 2^2 * 37
11X,211 = 7 * 37
11E,173 = 3 * 7 * E
120,121 = 11^2
121,173 = 3 * 7 * E
122,123 = 3^2 * 17
123,15E = 5 * 37
124,187 = 11 * 17
125,151 = 5 * 35
126,127 = 5^2 * 7
127,227 = E * 25
128,129 = 3 * 4E
129,144 = 2^2 * 7^2
12X,187 = 11 * 17
12E,135 = 5 * 31
130,161 = 7 * 27
131,143 = 3 * 5 * 11
132,133 = 3 * 51
133,165 = 11 * 15
134,135 = 5 * 31
135,161 = 7 * 27
136,137 = E * 15
137,161 = 7 * 27
138,139 = 3^3 * 7
139,177 = 5 * 3E
13X,173 = 3 * 7 * E
13E,161 = 7 * 27
140,161 = 7 * 27
141,1E0 = 2^2 * 3 * 1E
142,143 = 3 * 5 * 11
143,197 = 7 * 31
144,151 = 5 * 35
145,173 = 3 * 7 * E
146,187 = 11 * 17
147,169 = 3^2 * 5^2
148,149 = 3 * 57
149,231 = 5^2 * 11
14X,14E = 7 * 25
14E,165 = 11 * 15
150,151 = 5 * 35
151,17X = 2 * 7 * 15
152,153 = 3^2 * 1E
153,231 = 5^2 * 11
154,155 = E * 17
155,1X9 = 3 * 7 * 11
156,47E = E * 51
157,161 = 7 * 27
158,159 = 3 * 5E
159,1X1 = 5 * 45
15X,15E = 5 * 37
15E,199 = 3^2 * 25
160,161 = 7 * 27
161,187 = 11 * 17
162,163 = 3 * 61
163,245 = E * 27
164,165 = 11 * 15
165,197 = 7 * 31
166,211 = 7 * 37
167,173 = 3 * 7 * E
168,169 = 3^2 * 5^2
169,245 = E * 27
16X,231 = 5^2 * 11
16E,1E9 = 3 * 5 * 17
170,317 = E * 35
171,1E9 = 3 * 5 * 17
172,173 = 3 * 7 * E
173,26X = 2 * 5 * 31
174,197 = 7 * 31
175,197 = 7 * 31
176,177 = 5 * 3E
177,187 = 11 * 17
178,179 = 3 * 67
179,2X5 = 7 * 4E
17X,4X7 = 17 * 31
17E,193 = 3 * 5 * 15
180,245 = E * 27
181,263 = 3 * E^2
182,183 = 3^5
183,1EX = 2 * E * 11
184,185 = 5 * 7^2
185,261 = 17^2
186,187 = 11 * 17
187,245 = E * 27
188,189 = 3 * 6E
189,197 = 7 * 31
18X,245 = E * 27
18E,201 = 15^2
190,191 = E * 1E
191,239 = 3^2 * 31
192,193 = 3 * 5 * 15
193,381 = 1E^2
194,245 = E * 27
195,211 = 7 * 37
196,197 = 7 * 31
197,3X7 = 11 * 37
198,199 = 3^2 * 25
199,264 = 2^2 * 7 * 11
19X,261 = 17^2
19E,245 = E * 27
1X0,1X1 = 5 * 45
1X1,1X9 = 3 * 7 * 11
1X2,1X3 = 3 * 75
1X3,331 = 7 * 57
1X4,231 = 5^2 * 11
1X5,1EX = 2 * E * 11
1X6,341 = 11 * 31
1X7,245 = E * 27
1X8,1X9 = 3 * 7 * 11
1X9,214 = 2^4 * 17
1XX,1XE = 5^2 * E
1XE,2X3 = 3 * E5
1E0,231 = 5^2 * 11
1E1,22X = 2 * 7 * 1E
1E2,1E3 = 3^2 * 27
1E3,49E = 5 * E7
1E4,245 = E * 27
1E5,235 = 7 * 3E
1E6,231 = 5^2 * 11
1E7,245 = E * 27
1E8,1E9 = 3 * 5 * 17
1E9,297 = 11 * 27
1EX,1EE = 7 * 35
1EE,245 = E * 27
200,201 = 15^2
201,264 = 2^2 * 7 * 11
202,203 = 3 * 81
203,265 = 5 * 61
204,261 = 17^2
205,231 = 5^2 * 11
206,207 = 5 * 4E
207,211 = 7 * 37
208,209 = 3^3 * E
209,331 = 7 * 57
20X,20E = 11 * 1E
20E,261 = 17^2
210,211 = 7 * 37
211,231 = 5^2 * 11
212,213 = 3 * 85
213,317 = E * 35
214,215 = 5 * 51
215,22E = 15 * 17
216,245 = E * 27
217,231 = 5^2 * 11
218,219 = 3 * 87
219,245 = E * 27
21X,317 = E * 35
21E,245 = E * 27
220,245 = E * 27
221,333 = 3 * 111
222,223 = 3^2 * 5 * 7
223,297 = 11 * 27
224,297 = 11 * 27
225,3X1 = 7 * 67
226,227 = E * 25
227,265 = 5 * 61
228,229 = 3 * 8E
229,374 = 2^3 * 5 * 11
22X,22E = 15 * 17
22E,249 = 3 * 5 * 1E
230,231 = 5^2 * 11
231,245 = E * 27
232,233 = 3 * 91
233,317 = E * 35
234,235 = 7 * 3E
235,317 = E * 35
236,4X7 = 17 * 31
237,281 = 5 * 7 * E
238,239 = 3^2 * 31
239,245 = E * 27
23X,23E = 5 * 57
23E,297 = 11 * 27
240,351 = 15 * 25
241,245 = E * 27
242,243 = 3 * 95
243,245 = E * 27
244,245 = E * 27
245,303 = 3 * 5 * 25
246,247 = 7^3
247,283 = 3^2 * 37
248,249 = 3 * 5 * 1E
249,434 = 2^3 * 7 * E
24X,317 = E * 35
24E,297 = 11 * 27
250,781 = 5 * 11 * 15
251,2E5 = 5^2 * 15
252,253 = 3^3 * 11
253,281 = 5 * 7 * E
254,2E7 = 7 * 51
255,281 = 5 * 7 * E
256,257 = 5 * 5E
257,3X9 = 3 * E * 15
258,259 = 3 * 7 * 15
259,311 = 5 * 75
25X,3X9 = 3 * E * 15
25E,317 = E * 35
260,261 = 17^2
261,290 = 2^2 * 3^2 * E
262,263 = 3 * E^2
263,4X7 = 17 * 31
264,265 = 5 * 61
265,275 = 11 * 25
266,345 = 5 * 81
267,297 = 11 * 27
268,269 = 3^2 * 35
269,341 = 11 * 31
26X,26E = 7 * 45
26E,303 = 3 * 5 * 25
270,331 = 7 * 57
271,281 = 5 * 7 * E
272,273 = 3 * 5^3
273,371 = E * 3E
274,275 = 11 * 25
275,2E3 = 3^2 * 3E
276,297 = 11 * 27
277,293 = 3 * 7 * 17
278,279 = 3 * X7
279,341 = 11 * 31
27X,2E5 = 5^2 * 15
27E,3X9 = 3 * E * 15
280,281 = 5 * 7 * E
281,3E4 = 2^3 * 5E
282,283 = 3^2 * 37
283,317 = E * 35
284,3X9 = 3 * E * 15
285,345 = 5 * 81
286,287 = 15 * 1E
287,31E = 5 * 7 * 11
288,289 = 3 * XE
289,2E5 = 5^2 * 15
28X,28E = 5 * 67
28E,2E9 = 3 * E * 11
290,341 = 11 * 31
291,341 = 11 * 31
292,293 = 3 * 7 * 17
293,2E5 = 5^2 * 15
294,317 = E * 35
295,303 = 3 * 5 * 25
296,297 = 11 * 27
297,331 = 7 * 57
298,299 = 3^4 * 5
299,4XE = 7 * 85
29X,29E = E * 31
29E,2E5 = 5^2 * 15
2X0,341 = 11 * 31
2X1,2E6 = 2 * 3 * 5E
2X2,2X3 = 3 * E5
2X3,311 = 5 * 75
2X4,2X5 = 7 * 4E
2X5,341 = 11 * 31
2X6,2X7 = 5 * 6E
2X7,341 = 11 * 31
2X8,2X9 = 3 * E7
2X9,341 = 11 * 31
2XX,341 = 11 * 31
2XE,303 = 3 * 5 * 25
2E0,317 = E * 35
2E1,341 = 11 * 31
2E2,2E3 = 3^2 * 3E
