0,2
1,1
2,3
3,4
4,7
5,E
6,16
7,25
8,3E
9,64
X,X3
E,147
10,22X
11,375
12,5X3
13,958
14,133E
15,2097
16,3416
17,54E1
18,8907
19,121E8
1X,1XE03
1E,310EE
20,50002
21,81101
22,111103
23,192204
24,2X3307
25,47550E
26,758816
27,1012125
28,176X93E
29,2780X64
2X,432E7X3
2E,6XE0647
30,E22022X
31,16110875
32,25330XX3
33,3E441758
34,6477263E
35,X3EE4197
36,148766816
37,23075X9E1
38,379305607
39,5X9X643E8
3X,967169X03
3E,13550121EE
40,2100180002
41,3455192201
42,5555352203
43,89XX524404
44,12343876607
45,1E13219XX0E
46,31475X55416
47,505X8034225
48,81X61X8963E
49,112449E01864
4X,1942XE98E2X3
4E,2X6739890E47
50,47XX2966022X
51,765567331175
52,10243949913X3
53,1789940102558
54,27E2114X9393E
55,437EX54E96297
56,6E71E69X6X016
57,E331X02X442E1
58,162X39708E2307
59,256157737365E8
5X,3E8E9524428903
5E,65313097E632EE
60,X5010600390002
61,14X323698333301
62,233334098703303
63,381657774X36604
64,5E498E851539907
65,97642740637430E
66,136E1E70578E2016
67,2125622462066325
68,34948194E995833E
69,55EX23E95EX02664
6X,8X92X5925975X9X3
6E,12491098EE9561447
70,1E363E3625710022X
71,31835013254661675
72,50E98E494XE7618X3
73,82811E60744203358
74,1137XXXXX03396503E
75,196400X4X777E68397
76,2X9EXE9387XE911416
77,4843E07873678797E1
78,7723X0503E5758E007
79,103679108E3032487E8
7X,17X8E7159325X817803
7E,2823742662561X643EE
80,44106E4035800680002
81,7034236698162524401
82,E44492X711962EX4403
83,16478E651X9E05508804
84,259018938EE8684E1007
85,4017X838XX97719E980E
86,65X805107X941X2XX816
87,X603E149696E900X8425
88,14EXEE65X2843XX39703E
89,235E3X7X795E37X483464
8X,385X3X24602376885X4X3
8E,5EE978X31982E27121947
90,9857E70779X669398022X
91,1385573XX97695EXXX1E75
92,214E16XE655540928621X3
93,3514722X53101691744158
94,56638919E86557643X633E
95,8E783E484E757235E2X497
96,126200866481E099X314816
97,1E59847E2979480142430E1
98,31EE8545923E389E2557907
99,51594X04EEE884X0679X9E8
9X,8359134X9238017E9136703
9E,114E661539234866039154EE
X0,1985374X2647088200X50002
X1,2E14X163636X552804765501
