5,4,1
7,6,1
E,1,X
11,2,6
15,14,1
17,6,3
1E,E,2
25,4,7
27,26,1
31,9,4
35,34,1
37,36,1
3E,1E,2
45,44,1
4E,25,2
51,13,4
57,56,1
5E,2E,2
61,30,2
67,22,3
6E,35,2
75,8,E
81,14,6
85,84,1
87,86,1
8E,45,2
91,46,2
95,94,1
X7,X6,1
XE,55,2
E5,E4,1
E7,E6,1
105,104,1
107,106,1
111,3,44
117,116,1
11E,6E,2
125,124,1
12E,75,2
131,76,2
13E,7E,2
141,20,8
145,144,1
147,56,3
157,12,13
167,166,1
16E,95,2
171,96,2
175,8,25
17E,9E,2
181,X0,2
18E,X5,2
195,194,1
19E,XE,2
1X5,1X4,1
1X7,46,5
1E1,E6,2
1E5,1E4,1
1E7,1E6,1
205,204,1
217,86,3
21E,10E,2
221,66,4
225,224,1
237,92,3
241,120,2
24E,125,2
251,73,4
255,254,1
25E,12E,2
267,266,1
271,27,10
277,276,1
27E,13E,2
285,284,1
291,83,4
295,294,1
2X1,150,2
2XE,155,2
2E1,26,12
2EE,37,X
301,90,4
307,102,3
30E,165,2
315,314,1
321,170,2
325,324,1
327,10X,3
32E,175,2
33E,17E,2
347,46,9
34E,2E,12
357,11X,3
35E,18E,2
365,364,1
375,34,11
377,376,1
391,1X6,2
397,396,1
3X5,3X4,1
3XE,1E5,2
3E5,3E4,1
3E7,3E6,1
401,100,4
40E,205,2
415,414,1
41E,20E,2
421,63,8
427,426,1
431,109,4
435,434,1
437,436,1
447,446,1
455,454,1
457,15X,3
45E,22E,2
465,464,1
46E,7,7X
471,13,38
481,24,20
485,44,11
48E,245,2
497,496,1
4X5,4X4,1
4E1,9X,6
4EE,25E,2
507,182,3
511,266,2
517,516,1
51E,45,12
527,526,1
531,276,2
535,534,1
541,54,10
545,544,1
557,556,1
565,564,1
575,574,1
577,116,5
585,584,1
587,1XX,3
58E,2X5,2
591,3X,16
59E,2XE,2
5E1,159,4
5E5,5E4,1
5E7,66,E
5EE,2EE,2
611,163,4
615,614,1
617,206,3
61E,30E,2
637,212,3
63E,31E,2
647,216,3
655,654,1
661,176,4
665,138,5
66E,335,2
675,674,1
687,686,1
68E,345,2
695,694,1
69E,34E,2
6X7,6X6,1
6E1,6E,10
701,360,2
705,704,1
70E,365,2
711,71,10
71E,36E,2
721,370,2
727,24X,3
735,734,1
737,736,1
745,744,1
747,9X,9
751,1X3,4
767,766,1
76E,395,2
771,132,6
775,774,1
77E,39E,2
785,784,1
791,3X6,2
797,796,1
7X1,138,6
7EE,3EE,2
801,140,6
80E,405,2
817,816,1
825,824,1
82E,415,2
835,834,1
841,84,10
851,14X,6
855,854,1
85E,42E,2
865,864,1
867,2X2,3
871,152,6
881,440,2
88E,445,2
8X5,98,E
8X7,2E6,3
8XE,455,2
8E5,8E4,1
8E7,8E6,1
901,230,4
905,198,5
907,906,1
90E,465,2
91E,46E,2
921,236,4
927,926,1
955,954,1
95E,48E,2
965,964,1
971,172,6
987,32X,3
995,994,1
9X7,9X6,1
9XE,4E5,2
9E1,9E,10
9E5,9E4,1
9EE,4EE,2
X07,X06,1
X0E,505,2
X11,56,1X
X17,X16,1
X27,156,7
X35,X34,1
X37,X36,1
X3E,51E,2
X41,188,6
X45,X44,1
X4E,525,2
X5E,52E,2
X6E,535,2
X77,X76,1
X87,X86,1
X91,283,4
X95,X94,1
X9E,54E,2
XX7,376,3
XXE,555,2
XE7,XE6,1
XEE,55E,2
E11,1X2,6
E15,228,5
E1E,56E,2
E21,570,2
E25,E24,1
E2E,575,2
E31,116,X
E37,E36,1
E45,E44,1
E61,16,78
E67,3X2,3
E6E,595,2
E71,596,2
E91,2E3,4
E95,E94,1
E97,E96,1
EX5,EX4,1
EE5,EE4,1
EE7,EE6,1
1005,1004,1
1011,73,18
1017,1016,1
1021,610,2
1027,1026,1
1041,620,2
1047,1046,1
104E,625,2
1051,313,4
1061,16,84
106E,635,2
107E,63E,2
1087,1086,1
109E,64E,2
10E1,329,4
10E7,10E6,1
10EE,65E,2
1101,220,6
1105,1104,1
1107,1106,1
1115,1114,1
1125,1124,1
112E,675,2
1135,1134,1
114E,685,2
1151,115,10
1165,1164,1
1167,42,33
1185,1184,1
118E,6X5,2
1197,472,3
11X1,6E,20
11X5,11X4,1
11X7,11X6,1
11XE,6E5,2
11E7,11E6,1
1201,700,2
120E,705,2
1211,706,2
121E,70E,2
1231,123,10
123E,71E,2
1245,1244,1
1255,114,11
1257,49X,3
125E,72E,2
1261,730,2
126E,735,2
127E,73E,2
1281,740,2
1295,94,17
1297,1296,1
12X1,75,20
12X5,2E8,5
12X7,12X6,1
12E5,12E4,1
1301,760,2
1317,506,3
1337,512,3
133E,77E,2
1345,1344,1
1351,166,X
1365,1364,1
1367,1366,1
136E,795,2
1377,106,13
138E,7X5,2
1391,3E3,4
1395,1394,1
13X1,7E0,2
13X7,536,3
13E1,13E,10
13E5,13E4,1
1405,1404,1
1407,326,5
1425,1424,1
142E,815,2
1431,286,6
1437,1436,1
143E,81E,2
1445,1444,1
1457,1456,1
1461,38,46
1465,1464,1
1467,562,3
1471,419,4
1475,1474,1
147E,83E,2
148E,845,2
1495,1494,1
149E,84E,2
14E1,14E,10
14E5,14E4,1
14EE,85E,2
150E,865,2
1517,1XX,9
1521,436,4
1525,1524,1
1547,1E2,9
1561,89,20
156E,97,1X
1577,1576,1
157E,89E,2
1585,1584,1
1587,2X,63
1591,2E6,6
15XE,8E5,2
15EE,8EE,2
1601,160,10
1615,1614,1
1621,910,2
1625,1624,1
1635,274,7
1647,276,7
1655,1654,1
1657,61X,3
165E,92E,2
1667,622,3
1671,936,2
1677,20X,9
167E,93E,2
1681,140,12
1685,1684,1
168E,945,2
1697,1696,1
169E,94E,2
16X1,950,2
16X7,16X6,1
16E5,188,E
16E7,16E6,1
1705,398,5
1711,493,4
1715,1714,1
1727,1726,1
1735,1734,1
1745,1744,1
1747,1746,1
1751,32X,6
1755,1754,1
1757,1756,1
176E,995,2
1781,4E0,4
1785,1784,1
178E,9X5,2
1797,1796,1
17X1,9E0,2
17X5,17X4,1
17EE,9EE,2
1807,682,3
1815,1814,1
181E,X0E,2
1825,1824,1
1831,509,4
183E,X1E,2
184E,X25,2
1861,269,8
1865,1864,1
186E,X35,2
1875,1874,1
1877,146,13
189E,X4E,2
18X1,210,X
18XE,X55,2
18E7,18E6,1
18EE,X5E,2
1911,191,10
1915,1914,1
1921,X70,2
1931,539,4
1937,306,7
1947,1946,1
194E,X85,2
1955,1954,1
1971,549,4
197E,X9E,2
1981,374,6
1995,314,7
19E7,19E6,1
19EE,XEE,2
1X01,83,28
1X11,8X,26
1X17,1X16,1
1X1E,E0E,2
1X2E,E15,2
1X35,1X34,1
1X41,E20,2
1X45,458,5
1X51,E26,2
1X6E,E35,2
1X71,E36,2
1X75,1X74,1
1X77,1X76,1
1X87,1X86,1
1XXE,E55,2
1XE1,1XE,10
1XE7,32,73
1E01,3X0,6
1E07,1E06,1
1E0E,E65,2
1E15,1E14,1
1E17,1E16,1
1E27,78X,3
1E2E,E75,2
1E3E,E7E,2
1E41,E80,2
1E4E,E85,2
1E51,3XX,6
1E65,1E64,1
1E67,1E66,1
1E7E,E9E,2
1E85,1E84,1
1EX1,EE0,2
1EE5,1EE4,1
2001,1000,2
2005,2004,1
2007,2006,1
200E,1005,2
2011,402,6
202E,251,X
2037,226,E
2047,2046,1
2051,613,4
205E,102E,2
2061,616,4
2065,2064,1
206E,1035,2
2071,619,4
2077,2076,1
2085,2084,1
2087,2086,1
2097,4E6,5
20X5,20X4,1
20X7,836,3
20E5,20E4,1
2107,842,3
2111,633,4
2115,2114,1
211E,106E,2
2127,84X,3
2131,1076,2
2137,852,3
214E,1085,2
215E,108E,2
2161,109,20
2165,2164,1
2177,866,3
2181,38,70
2185,2184,1
2191,87,30
219E,10XE,2
21X7,21X6,1
21E1,10E6,2
21E7,21E6,1
2215,2214,1
221E,110E,2
2221,111,20
222E,1115,2
2241,448,6
2245,2244,1
224E,1125,2
2265,2264,1
2267,396,7
2275,2274,1
2287,2286,1
228E,1145,2
2291,1146,2
229E,114E,2
22E1,689,4
22E5,548,5
2301,90,30
2317,3X6,7
231E,287,X
2325,2324,1
2327,2326,1
232E,1175,2
2335,2334,1
2337,2336,1
2347,2346,1
234E,1185,2
2367,2366,1
2385,2384,1
2395,568,5
2397,2396,1
239E,11XE,2
23X5,23X4,1
23XE,11E5,2
23E1,11E6,2
23E7,23E6,1
2415,268,E
2417,2416,1
2421,242,10
2435,2434,1
243E,121E,2
244E,1225,2
2451,1226,2
2457,2456,1
2467,2466,1
247E,123E,2
2481,720,4
2485,2484,1
248E,1245,2
24X1,373,8
24X5,24X4,1
24X7,326,9
2501,4X0,6
2521,210,12
252E,1275,2
2535,2534,1
2537,2536,1
2545,2544,1
2547,1E6,13
2555,2554,1
2557,99X,3
2565,2564,1
256E,1295,2
2571,749,4
257E,2E7,X
2581,4E4,6
258E,12X5,2
2595,2594,1
25X1,389,8
2607,X02,3
2615,2614,1
2617,X06,3
2625,2624,1
2631,769,4
2637,2636,1
2645,2644,1
265E,132E,2
2665,2664,1
2675,2674,1
2685,2684,1
2687,2686,1
26X1,3X3,8
26X7,X36,3
26XE,311,X
26E5,26E4,1
26EE,135E,2
2715,628,5
2717,2716,1
2725,2724,1
2737,2736,1
2741,274,10
2745,2744,1
2747,2746,1
274E,1385,2
276E,1395,2
2771,7X9,4
2781,7E0,4
2787,2786,1
279E,13XE,2
27X7,X76,3
27E1,7E9,4
27E7,27E6,1
2811,65,50
2825,2824,1
2827,X8X,3
282E,1415,2
2835,2834,1
2837,2836,1
2841,1420,2
2847,2846,1
2855,2854,1
285E,142E,2
286E,331,X
287E,143E,2
2895,2894,1
2897,XE2,3
28X1,558,6
28X5,28X4,1
28EE,145E,2
2907,2906,1
2927,2926,1
292E,1475,2
2931,293,10
2935,2934,1
293E,147E,2
2941,840,4
2951,295,10
2955,2954,1
2967,2966,1
2991,14X6,2
299E,14XE,2
29X5,29X4,1
29E5,29E4,1
2X07,196,17
2X11,1506,2
2X1E,150E,2
2X2E,1515,2
2X31,1516,2
2X35,2X34,1
2X3E,7,4XX
2X47,2X46,1
2X51,1526,2
2X5E,152E,2
2X61,876,4
2X65,2X64,1
2X77,2X76,1
2X81,140,22
2X87,2X86,1
2X8E,1545,2
2X95,2X94,1
2X97,2X96,1
2XX5,2XX4,1
2XX7,2XX6,1
2XEE,155E,2
2E0E,1565,2
2E17,2E16,1
2E31,899,4
2E35,708,5
2E3E,157E,2
2E4E,1585,2
2E51,366,X
2E57,2E56,1
2E61,5E,60
2E67,2E66,1
2E8E,15X5,2
2E95,2E94,1
2EX7,2EX6,1
2EXE,371,X
2EE7,2EE6,1
3005,3004,1
3011,301,10
3021,136,24
3037,3036,1
303E,161E,2
3041,910,4
3045,3044,1
3065,3064,1
3075,3074,1
307E,163E,2
3081,47,80
3095,3094,1
309E,164E,2
30X5,30X4,1
30E7,103X,3
3105,3104,1
3117,3116,1
311E,166E,2
3145,3144,1
314E,1685,2
3155,3154,1
315E,168E,2
3167,1062,3
3171,1696,2
3175,3174,1
3177,546,7
3187,3186,1
3191,16X6,2
3195,3194,1
3197,1072,3
31X1,489,8
31EE,16EE,2
3205,3204,1
3207,56,6E
320E,1705,2
3225,3224,1
3227,3226,1
322E,1715,2
323E,171E,2
3241,249,14
3247,3246,1
324E,28E,12
3271,652,6
3277,3276,1
3281,654,6
3285,3284,1
3291,983,4
329E,174E,2
3307,3306,1
331E,176E,2
3321,664,6
3327,110X,3
332E,1775,2
3331,999,4
3335,3334,1
3337,3336,1
3345,3344,1
3357,3356,1
3361,1790,2
3365,3364,1
3371,672,6
337E,179E,2
3385,3384,1
33X1,678,6
33X5,7E8,5
33X7,33X6,1
33E1,17E6,2
3417,1146,3
341E,2X5,12
3427,3426,1
3435,3434,1
343E,181E,2
3445,3444,1
3451,1826,2
3457,3456,1
3467,3466,1
346E,1835,2
3475,3474,1
3477,3476,1
3481,1840,2
3485,3484,1
348E,1845,2
3491,1846,2
349E,184E,2
34X1,410,X
34E5,34E4,1
34EE,185E,2
3517,3516,1
351E,186E,2
352E,1875,2
3541,1880,2
3565,3564,1
356E,1895,2
3587,3586,1
358E,18X5,2
35X5,35X4,1
35E1,X59,4
35E7,35E6,1
35EE,18EE,2
3605,3604,1
3617,3616,1
3621,X66,4
3627,120X,3
3635,3634,1
3637,1212,3
3645,3644,1
3655,3654,1
3661,244,16
366E,1935,2
3671,X79,4
367E,193E,2
3687,866,5
3697,3696,1
36X5,36X4,1
3705,3704,1
3707,1242,3
370E,1965,2
3717,3716,1
3721,1970,2
3725,3724,1
3731,125,30
3747,3746,1
3755,3754,1
375E,198E,2
3765,3764,1
3767,92,49
3771,377,10
377E,199E,2
378E,19X5,2
3791,736,6
379E,19XE,2
37X5,37X4,1
37XE,19E5,2
37E5,37E4,1
3801,38,100
3807,3806,1
3815,3814,1
381E,1X0E,2
3821,1X10,2
3827,128X,3
3831,129,30
3837,3836,1
3845,3844,1
3851,E13,4
3871,1X36,2
3877,646,7
3895,3894,1
3897,8E6,5
38E1,1X56,2
38E5,38E4,1
3901,1X60,2
390E,207,1X
3935,3934,1
3941,1X8,20
3957,131X,3
395E,1X8E,2
3961,99,48
396E,141,2X
3975,3974,1
3977,3976,1
3981,1XX0,2
3985,138,2E
399E,1XXE,2
39X7,1336,3
39E7,133X,3
3X11,179,24
3X25,3X24,1
3X2E,1E15,2
3X31,1E16,2
3X41,1E20,2
3X47,676,7
3X55,3X54,1
3X57,135X,3
3X65,3X64,1
3X67,3X66,1
3X71,E79,4
3X7E,1E3E,2
3X91,1E46,2
3X95,3X94,1
3XE5,948,5
3XE7,137X,3
3E0E,1E65,2
3E11,1E66,2
3E1E,1E6E,2
3E21,3E2,10
3E2E,1E75,2
3E47,3E46,1
3E4E,1E85,2
3E51,3E5,10
3E55,3E54,1
3E61,7E0,6
3E75,3E74,1
3E7E,1E9E,2
3E85,3E84,1
3E87,13XX,3
3E97,3E96,1
3EXE,1EE5,2
3EE7,3EE6,1
3EEE,1EEE,2
4005,4004,1
402E,2015,2
4031,2016,2
403E,201E,2
4041,4X0,X
4047,546,9
404E,2025,2
4055,4054,1
405E,202E,2
4067,4066,1
4071,2036,2
4075,988,5
4085,4084,1
408E,X1,4X
4097,4096,1
40X7,1436,3
40XE,2055,2
4101,1030,4
4111,2066,2
411E,206E,2
413E,207E,2
4145,4144,1
4155,4154,1
415E,208E,2
4161,2090,2
417E,4E7,X
4187,4186,1
41X1,629,8
41XE,20E5,2
41E5,41E4,1
4207,1482,3
420E,2105,2
4211,421,10
4217,4216,1
4225,4224,1
4231,2116,2
4237,2E6,15
423E,211E,2
4245,4244,1
426E,2135,2
4281,854,6
428E,2145,2
4291,429,10
42X1,133,34
42XE,2155,2
42E1,2156,2
4305,4304,1
4307,4306,1
4321,217,20
4341,10X0,4
4357,352,13
4361,87,60
4375,4374,1
438E,21X5,2
4395,4394,1
4397,1532,3
43E1,12X,36
43E5,43E4,1
43EE,21EE,2
4401,80,66
440E,2205,2
4417,4416,1
4425,4424,1
442E,2215,2
4435,4434,1
4441,666,8
4445,4444,1
444E,38E,12
4451,445,10
445E,222E,2
4461,2230,2
4471,2236,2
4475,4474,1
447E,223E,2
4485,4484,1
4487,4486,1
4497,1572,3
449E,224E,2
44E1,192,26
4507,1582,3
450E,2265,2
4515,4514,1
4531,2276,2
4535,4534,1
4541,40,114
4547,776,7
454E,2285,2
4557,4556,1
455E,228E,2
4571,2296,2
4577,4576,1
457E,229E,2
4591,22X6,2
45X1,22E0,2
45X5,45X4,1
45X7,45X6,1
4611,1163,4
4615,4614,1
4635,4634,1
463E,231E,2
4645,4644,1
4655,4654,1
4665,4664,1
4677,2X6,17
4681,2340,2
