1,1
2,3
3,8
4,6
5,18
6,20
7,14
8,10
9,20
X,50
E,X
10,20
11,24
12,40
13,34
14,20
15,30
16,20
17,16
18,50
19,14
1X,26
1E,40
20,20
21,84
22,70
23,60
24,40
25,12
26,X0
27,26
28,40
29,34
2X,30
2E,68
30,20
31,64
32,16
33,48
34,50
35,34
36,40
37,74
38,26
39,X0
3X,40
3E,28
40,20
41,94
42,210
43,60
44,70
45,90
46,60
47,18
48,40
49,60
4X,36
4E,4X
50,X0
51,50
52,26
53,40
54,80
55,E8
56,X0
57,E4
58,30
59,40
5X,180
5E,5X
60,20
61,104
62,170
63,148
64,16
65,68
66,120
67,66
68,X0
69,160
6X,X0
6E,120
70,40
71,130
72,1X0
73,48
74,50
75,38
76,X0
77,94
78,40
79,X0
7X,80
7E,130
80,40
81,144
82,240
83,X0
84,210
85,42
86,60
87,154
88,70
89,68
8X,90
8E,60
90,60
91,90
92,50
93,108
94,40
95,64
96,60
97,180
98,36
99,120
9X,126
9E,100
X0,X0
X1,92
X2,50
X3,34
X4,26
X5,358
X6,40
X7,194
X8,140
X9,74
XX,2E0
XE,XX
E0,X0
E1,100
E2,2X0
E3,260
E4,30
E5,1E0
E6,40
E7,3X
E8,180
E9,28
EX,156
EE,E8
100,20
101,E8
102,310
103,94
104,170
105,104
106,420
107,42
108,30
109,60
10X,180
10E,50
110,120
111,224
112,66
113,160
114,180
115,40
116,160
117,234
118,X0
119,34
11X,120
11E,240
120,40
121,264
122,130
123,60
124,1X0
125,250
126,120
127,294
128,X0
129,174
12X,E0
12E,12X
130,X0
131,76
132,240
133,X0
134,40
135,278
136,X0
137,130
138,80
139,100
13X,130
13E,13X
140,80
141,284
142,410
143,1E4
144,240
145,290
146,X0
147,1X
148,210
149,E4
14X,106
14E,94
150,60
151,34
152,440
153,40
154,120
155,76
156,180
157,36
158,90
159,1E4
15X,60
15E,308
160,60
161,180
162,90
163,208
164,50
165,190
166,320
167,314
168,40
169,420
16X,170
16E,320
170,60
171,96
172,180
173,68
174,70
175,44
176,120
177,114
178,126
179,220
17X,100
17E,17X
180,X0
181,180
182,236
183,460
184,50
185,3X8
186,X0
187,190
188,50
189,120
18X,X50
18E,18X
190,40
191,180
192,540
193,260
194,280
195,370
196,1X0
197,214
