1,1
2,2
3,8
4,4
5,10
6,8
7,6
8,8
9,20
X,10
E,20
10,8
11,24
12,6
13,20
14,14
15,14
16,20
17,34
18,10
19,20
1X,20
1E,1X
20,8
21,50
22,24
23,60
24,10
25,18
26,20
27,26
28,28
29,20
2X,14
2E,10
30,20
31,64
32,34
33,48
34,20
35,X
36,20
37,74
38,20
39,20
3X,1X
3E,3X
40,14
41,36
42,50
43,14
44,24
45,90
46,60
47,20
48,20
49,34
4X,18
4E,34
50,20
51,X4
52,26
53,20
54,54
55,70
56,20
57,E4
58,14
59,74
5X,10
5E,5X
60,20
61,60
62,64
63,X0
64,34
65,20
66,48
67,22
68,40
69,160
6X,X
6E,120
70,20
71,40
72,74
73,34
74,20
75,74
76,20
77,70
78,38
79,X0
7X,3X
7E,X0
80,28
81,80
82,36
83,20
84,50
85,150
86,14
87,2X
88,48
89,20
8X,90
8E,160
90,60
91,164
92,20
93,108
94,40
95,48
96,34
97,E0
98,18
99,120
9X,34
9E,40
X0,20
X1,1X0
X2,X4
X3,34
X4,50
X5,210
X6,20
X7,X6
X8,X8
X9,74
XX,70
XE,1X0
E0,20
E1,X0
E2,E4
E3,60
E4,14
E5,58
E6,74
E7,1E4
E8,10
E9,134
EX,5X
EE,120
100,40
101,50
102,60
103,120
104,64
105,210
106,X0
107,106
108,34
109,40
10X,20
10E,50
110,48
111,224
112,22
113,160
114,80
115,56
116,160
117,234
118,18
119,20
11X,120
11E,11X
120,20
121,24
122,40
123,X0
124,74
125,250
126,34
127,50
128,40
129,34
12X,74
12E,60
130,20
131,264
132,70
133,188
134,74
135,170
136,X0
137,40
138,78
139,60
13X,X0
13E,13X
140,54
141,140
142,80
143,120
144,70
145,30
146,20
147,16
148,X0
149,E4
14X,150
14E,50
150,14
151,50
152,2X
153,1X0
154,94
155,X0
156,20
157,2E4
158,90
159,1E4
15X,160
15E,1X0
160,60
161,26
162,164
163,60
164,20
165,94
166,108
167,62
168,80
169,X0
16X,48
16E,108
170,34
171,78
172,E0
173,20
174,34
175,174
176,120
177,1E0
178,34
179,88
17X,40
17E,12
180,40
181,68
182,1X0
183,460
184,X4
185,70
186,34
187,1E4
188,X0
189,120
