1,2,1
2,3,2
3,5,2
4,7,4
5,E,2
6,11,4
7,15,2
8,17,4
9,1E,6
X,25,2
E,27,6
10,31,4
11,35,2
12,37,4
13,3E,6
14,45,6
15,4E,2
16,51,6
17,57,4
18,5E,2
19,61,6
1X,67,4
1E,6E,6
20,75,8
21,81,4
22,85,2
23,87,4
24,8E,2
25,91,4
26,95,12
27,X7,4
28,XE,6
29,E5,2
2X,E7,X
2E,105,2
30,107,6
31,111,6
32,117,4
33,11E,6
34,125,6
35,12E,2
36,131,X
37,13E,2
38,141,4
39,145,2
3X,147,10
3E,157,10
40,167,4
41,16E,2
42,171,4
43,175,6
44,17E,2
45,181,X
46,18E,6
47,195,6
48,19E,6
49,1X5,2
4X,1X7,6
4E,1E1,4
50,1E5,2
51,1E7,X
52,205,12
53,217,4
54,21E,2
55,221,4
56,225,12
57,237,6
58,241,X
59,24E,2
5X,251,4
5E,255,6
60,25E,8
61,267,6
62,271,6
63,277,4
64,27E,6
65,285,8
66,291,4
67,295,8
68,2X1,X
69,2XE,2
6X,2E1,X
6E,2EE,2
70,301,6
71,307,4
72,30E,6
73,315,8
74,321,4
75,325,2
76,327,4
77,32E,10
78,33E,8
79,347,4
7X,34E,8
7E,357,4
80,35E,6
81,365,10
82,375,2
83,377,16
84,391,6
85,397,X
86,3X5,6
87,3XE,6
88,3E5,2
89,3E7,6
8X,401,X
8E,40E,6
90,415,6
91,41E,2
92,421,6
93,427,6
94,431,4
95,435,2
96,437,10
97,447,X
98,455,2
99,457,4
9X,45E,6
9E,465,6
X0,46E,2
X1,471,10
X2,481,4
X3,485,6
X4,48E,8
X5,497,X
X6,4X5,8
X7,4E1,X
X8,4EE,8
X9,507,6
XX,511,6
XE,517,4
E0,51E,8
E1,527,6
E2,531,4
E3,535,8
E4,541,4
E5,545,12
E6,557,X
E7,565,10
E8,575,2
E9,577,X
EX,585,2
EE,587,4
100,58E,2
101,591,X
102,59E,12
103,5E1,4
104,5E5,2
105,5E7,4
106,5EE,12
107,611,4
108,615,2
109,617,4
10X,61E,18
10E,637,4
110,63E,8
111,647,X
112,655,8
113,661,4
114,665,6
115,66E,6
116,675,12
117,687,4
118,68E,6
119,695,6
11X,69E,8
11E,6X7,6
120,6E1,10
121,701,4
122,705,6
123,70E,2
124,711,X
125,71E,2
126,721,6
127,727,X
128,735,2
129,737,X
12X,745,2
12E,747,6
130,751,16
131,767,4
132,76E,2
133,771,4
134,775,6
135,77E,6
136,785,8
137,791,6
138,797,6
139,7X1,1X
13X,7EE,2
13E,801,X
140,80E,8
141,817,X
142,825,6
143,82E,6
144,835,8
145,841,10
146,851,4
147,855,6
148,85E,6
149,865,2
14X,867,6
14E,871,10
150,881,X
151,88E,16
152,8X5,2
153,8X7,4
154,8XE,6
155,8E5,2
156,8E7,6
157,901,4
158,905,2
159,907,4
15X,90E,10
15E,91E,2
160,921,6
161,927,2X
162,955,6
163,95E,6
164,965,8
165,971,16
166,987,X
167,995,12
168,9X7,4
169,9XE,2
16X,9E1,4
16E,9E5,6
170,9EE,8
171,X07,4
172,X0E,2
173,X11,6
174,X17,10
175,X27,X
176,X35,2
177,X37,4
178,X3E,2
179,X41,4
17X,X45,6
17E,X4E,10
180,X5E,10
181,X6E,8
182,X77,10
183,X87,6
184,X91,4
185,X95,6
186,X9E,8
187,XX7,4
188,XXE,8
189,XE7,4
18X,XEE,12
18E,E11,4
190,E15,6
191,E1E,2
192,E21,4
193,E25,6
194,E2E,2
195,E31,6
196,E37,X
197,E45,18
198,E61,6
199,E67,4
19X,E6E,2
19E,E71,20
1X0,E91,4
1X1,E95,2
1X2,E97,X
1X3,EX5,10
1X4,EE5,2
1X5,EE7,X
1X6,1005,8
