1,2
2,3
3,5
4,7
5,E
6,11
7,15
8,17
9,1E
X,25
E,27
10,31
11,35
12,37
13,3E
14,45
15,4E
16,51
17,57
18,5E
19,61
1X,67
1E,6E
20,75
21,81
22,85
23,87
24,8E
25,91
26,95
27,X7
28,XE
29,E5
2X,E7
2E,105
30,107
31,111
32,117
33,11E
34,125
35,12E
36,131
37,13E
38,141
39,145
3X,147
3E,157
40,167
41,16E
42,171
43,175
44,17E
45,181
46,18E
47,195
48,19E
49,1X5
4X,1X7
4E,1E1
50,1E5
51,1E7
52,205
53,217
54,21E
55,221
56,225
57,237
58,241
59,24E
5X,251
5E,255
60,25E
61,267
62,271
63,277
64,27E
65,285
66,291
67,295
68,2X1
69,2XE
6X,2E1
6E,2EE
70,301
71,307
72,30E
73,315
74,321
75,325
76,327
77,32E
78,33E
79,347
7X,34E
7E,357
80,35E
81,365
82,375
83,377
84,391
85,397
86,3X5
87,3XE
88,3E5
89,3E7
8X,401
8E,40E
90,415
91,41E
92,421
93,427
94,431
95,435
96,437
97,447
98,455
99,457
9X,45E
9E,465
X0,46E
X1,471
X2,481
X3,485
X4,48E
X5,497
X6,4X5
X7,4E1
X8,4EE
X9,507
XX,511
XE,517
E0,51E
E1,527
E2,531
E3,535
E4,541
E5,545
E6,557
E7,565
E8,575
E9,577
EX,585
EE,587
100,58E
101,591
102,59E
103,5E1
104,5E5
105,5E7
106,5EE
107,611
108,615
109,617
10X,61E
10E,637
110,63E
111,647
112,655
113,661
114,665
115,66E
116,675
117,687
118,68E
119,695
11X,69E
11E,6X7
120,6E1
121,701
122,705
123,70E
124,711
125,71E
126,721
127,727
128,735
129,737
12X,745
12E,747
130,751
131,767
132,76E
133,771
134,775
135,77E
136,785
137,791
138,797
139,7X1
13X,7EE
13E,801
140,80E
141,817
142,825
143,82E
144,835
145,841
146,851
147,855
148,85E
149,865
14X,867
14E,871
150,881
151,88E
152,8X5
153,8X7
154,8XE
155,8E5
156,8E7
157,901
158,905
159,907
15X,90E
15E,91E
160,921
161,927
162,955
163,95E
164,965
165,971
166,987
167,995
168,9X7
169,9XE
16X,9E1
16E,9E5
170,9EE
171,X07
172,X0E
173,X11
174,X17
175,X27
176,X35
177,X37
178,X3E
179,X41
17X,X45
17E,X4E
180,X5E
181,X6E
182,X77
183,X87
184,X91
185,X95
186,X9E
187,XX7
188,XXE
189,XE7
18X,XEE
18E,E11
190,E15
191,E1E
192,E21
193,E25
194,E2E
195,E31
196,E37
197,E45
198,E61
199,E67
19X,E6E
19E,E71
1X0,E91
1X1,E95
1X2,E97
1X3,EX5
1X4,EE5
1X5,EE7
1X6,1005
1X7,1011
1X8,1017
1X9,1021
1XX,1027
1XE,1041
1E0,1047
1E1,104E
1E2,1051
1E3,1061
1E4,106E
1E5,107E
1E6,1087
1E7,109E
1E8,10E1
1E9,10E7
1EX,10EE
1EE,1101
200,1105
201,1107
202,1115
203,1125
204,112E
205,1135
206,114E
207,1151
208,1165
209,1167
20X,1185
20E,118E
210,1197
211,11X1
212,11X5
213,11X7
214,11XE
215,11E7
216,1201
217,120E
218,1211
219,121E
21X,1231
21E,123E
220,1245
221,1255
222,1257
223,125E
224,1261
225,126E
226,127E
227,1281
228,1295
229,1297
22X,12X1
22E,12X5
230,12X7
231,12E5
232,1301
233,1317
234,1337
235,133E
236,1345
237,1351
238,1365
239,1367
23X,136E
23E,1377
240,138E
241,1391
242,1395
243,13X1
244,13X7
245,13E1
246,13E5
247,1405
248,1407
249,1425
24X,142E
24E,1431
250,1437
251,143E
252,1445
253,1457
254,1461
255,1465
256,1467
257,1471
258,1475
259,147E
25X,148E
25E,1495
260,149E
261,14E1
262,14E5
263,14EE
264,150E
265,1517
266,1521
267,1525
268,1547
269,1561
26X,156E
26E,1577
270,157E
271,1585
272,1587
273,1591
274,15XE
275,15EE
276,1601
277,1615
278,1621
279,1625
27X,1635
27E,1647
280,1655
281,1657
282,165E
283,1667
284,1671
285,1677
286,167E
287,1681
288,1685
289,168E
28X,1697
28E,169E
290,16X1
291,16X7
292,16E5
293,16E7
294,1705
295,1711
296,1715
297,1727
298,1735
299,1745
29X,1747
29E,1751
2X0,1755
2X1,1757
2X2,176E
2X3,1781
2X4,1785
2X5,178E
2X6,1797
2X7,17X1
2X8,17X5
2X9,17EE
2XX,1807
2XE,1815
2E0,181E
2E1,1825
2E2,1831
2E3,183E
2E4,184E
2E5,1861
2E6,1865
2E7,186E
2E8,1875
2E9,1877
2EX,189E
2EE,18X1
300,18XE
301,18E7
302,18EE
303,1911
304,1915
305,1921
306,1931
307,1937
308,1947
309,194E
30X,1955
30E,1971
