1,3
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
X,2
E,5
10,2
11,2
12,2
13,2
14,2
15,2
16,6
17,2
18,4
19,3
1X,2
1E,X
20,2
21,1X
22,2
23,2
24,4
25,6
26,2
27,2
28,2
29,2
2X,2
2E,12
30,3
31,51
32,2
33,X
34,2
35,12
36,2
37,13
38,21
39,E
3X,2
3E,5
40,5
41,2
42,6
43,26
44,E
45,20
46,7
47,7
48,2
49,5
4X,7
4E,17
50,3
51,2
52,2
53,3
54,26
55,2
56,9
57,3X
58,71
59,2
5X,3
5E,3
60,3
61,E
62,14
63,4E
64,7
65,2
66,2
67,1X
68,2
69,19
6X,51
6E,35
70,7
71,2
72,2
73,8
74,5
75,2
76,2
77,E
78,4
79,2
7X,6
7E,38
80,4
81,10
82,2
83,53
84,18
85,1X
86,11
87,3
88,4
89,7
8X,X
8E,2
90,3
91,10
92,5
93,10
94,34
95,72
96,12
97,1X4
98,5
99,20
9X,6
9E,104
X0,2
X1,37
X2,2
X3,10
X4,6
X5,X7
X6,2
X7,2
X8,86
X9,2
XX,3
XE,7
E0,3
E1,2
E2,5
E3,29
E4,48
E5,11
E6,8
E7,E
E8,4
E9,5
EX,3X
EE,3
100,6
101,2
102,16
103,11
104,4
105,5
106,2
107,25
108,9
109,12
10X,3
10E,52
110,4
111,48
112,2
113,139
114,18
115,3
116,79
117,26
118,10
119,2
11X,41
11E,38
120,16
121,20
122,2
123,1X
124,12
125,50
126,2
127,53
128,15
129,3E
12X,14
12E,214
130,2E
131,5
132,9
133,110
134,2
135,37
136,20
137,35
138,80
139,8
13X,34
13E,62
140,2
141,9X
142,5X
143,2
144,X
145,29
146,5
147,110
148,22
149,35
14X,2
14E,206
150,14
151,E
152,5
153,X7
154,2
155,87
156,21
157,3X
158,35
159,152
15X,6
15E,11E
160,74
161,33
162,10
163,89
164,13
165,13
166,12
167,133
168,7
169,65
16X,78
16E,60
170,13
171,426
172,11
173,56
174,9
175,422
176,2
177,15
178,3
179,3X
17X,44
17E,167
180,24
181,97
182,17
183,155
184,51
185,57
186,E
187,13
188,5
189,23
18X,21
18E,31
190,1E
191,59
192,2
193,3
194,X0
195,44
196,15
197,59
198,24
199,2
19X,40
19E,88
1X0,9
1X1,12
1X2,18
1X3,22
1X4,21
1X5,35
1X6,18
1X7,6
1X8,47
1X9,35
1XX,75
1XE,15
1E0,3
1E1,242
1E2,26
1E3,3
1E4,2
1E5,161
1E6,2X
1E7,11
1E8,59
1E9,94
1EX,12
1EE,3
200,5
201,223
202,55
203,13
204,144
205,E4
206,1X
207,38
208,2
209,48
20X,14
20E,163
210,4
211,251
212,103
213,8
214,3
215,13
216,14
217,164
218,27
219,155
21X,21
21E,116
220,2
221,2E
222,17
223,49
224,132
225,X
226,8
227,82
228,X
229,19
22X,2
22E,293
230,29
231,59
232,17
233,76
234,66
235,214
236,8
237,162
238,7
239,93
23X,2
23E,19
240,9
241,17
242,15
243,35
244,9
245,11
246,26
247,1E
248,8E
249,2
24X,14
24E,22
250,19
251,33
252,15
253,82
254,7
255,10
256,6
257,33
258,4
259,5
25X,E
25E,1X
260,6
261,32
262,201
263,2X
264,3
265,63
266,2
267,57
268,73
269,122
26X,41
26E,31
270,11
271,X0
272,2
273,110
274,156
275,68
