1,2
2,3
3,7
4,0
5,1E
6,35
7,5E
8,0
9,0
X,221
E,457
10,2467
11,321
12,71E
13,307
14,0
15,21E
16,26931
17,13E
18,52077
19,2X1
1X,1E41
1E,1301
20,218E11
21,0
22,7207
23,0
24,651X1
25,917E
26,5EX21
27,34X1
28,0
29,10E7X1
2X,24361
2E,31481
30,0
31,19301
32,28101
33,800EE
34,563171
35,76761
36,X03611
37,472EE
38,35641
39,27EX9147
3X,111EX1
3E,113621
40,1XEX64E17
41,0
42,78E36E1
43,136E07
44,62X41
45,7979E
46,X14362E71
47,1X2141
48,61666457
49,1X9021
4X,1427X1
4E,2X4281
50,297847
51,486241
52,279221
53,2X562641
54,0
55,3869781
56,9441941
57,1172741
58,1300921
59,54201
5X,1X70521
5E,1285861
60,37XX6544X71
61,308001
62,2EE9E41
63,551869X7
64,85783X1
65,2971481
66,2X1E5401
67,2622641
68,97776067981
69,0
6X,838X781
6E,57X59X1
70,31X1562607
71,7E89761
72,2597561
73,119E8421
74,74886E61
75,21702X1
76,56123810521
77,1E823EX1
78,31053E21
79,1999X941
7X,1865021
7E,9909061
80,70E6049E4627
81,5X651X1
82,2X891813431
83,61E1097X1
84,0
85,9X28961
86,15E991E81
87,14684EX1
88,95550541
89,141975701
8X,42E1E141
8E,E208541
90,?
91,1X92E941
92,477546181
93,130E4061
94,2E4E2X3E652X1
95,26357121
96,4X7221521
97,2658X7821
98,2223X0121
99,192603E961
9X,18869X3X1
9E,162757321
X0,21E7345903551
X1,0
X2,101X206X1
X3,44E6E6601
X4,3E5515121
X5,0
X6,865E7146161
X7,51858E61
X8,0
X9,377336241
XX,162E8E261
XE,1454XEE01
E0,1672E796161
E1,453144661
E2,999908021
E3,7E49X41E6E87
E4,1035X843281
E5,906178X1
E6,1068276301
E7,354745201
E8,757X90397561
E9,1459098E81
EX,356458241
EE,789226861
100,0
