1,5
2,1E
3,17
4,31
5,1X7
6,11
7,25
8,141
9,347
X,E
E,75
10,271
11,375
12,2E1
13,157
14,3241
15,4237
16,591
17,1295
18,1011
19,EE97
1X,X11
1E,6387
20,481
21,X1X7
22,2X81
23,74X7
24,3021
25,175
26,1X11
27,12E15
28,1X01
29,6197
2X,396E
2E,3985
30,2191
31,X755
32,86E1
33,1167
34,42X1
35,5045
36,43E1
37,6E75
38,471
39,253X7
3X,1970E
3E,19135
40,9X01
41,E8X7
42,1371E
43,35467
44,111
45,41X57
46,1461
47,27167
48,3961
49,3767
4X,408E
4E,22105
50,2811
51,4X57
52,E97E
53,53E47
54,6281
55,19625
56,11091
57,26017
58,19021
59,17107
5X,3282E
5E,23447
60,2E61
61,37925
62,646E
63,1587
64,43EX1
65,E6X25
66,4401
67,1X927
68,35641
69,X7947
6X,9111E
6E,3207
70,2181
71,58217
72,5928E
73,1XE7
74,246X1
75,29097
76,58901
77,227E85
78,E61
79,10467
7X,46E
7E,31475
80,3081
81,110605
82,3596E
83,112E17
84,1061
85,250435
86,88441
87,78615
88,X00X1
89,10337
8X,7403E
8E,352X7
90,14831
91,792315
92,7E5E
93,25507
94,91581
95,95635
96,374E1
97,1939X5
98,10X81
99,400X7
9X,2803E
9E,158135
X0,1EX81
X1,178495
X2,6208E
X3,71X17
X4,246E31
X5,195635
X6,21291
X7,11635
X8,3E941
X9,350X37
XX,4595E
XE,189X55
E0,344E1
E1,54237
E2,1609E
E3,166E77
E4,X07X1
E5,636247
E6,33E21
E7,3E8X87
E8,36071
E9,19857
EX,73X1E
EE,501755
100,3801
101,180EE5
102,2498X1
103,E1X97
104,12791
105,335685
106,7151
107,30005
108,23861
109,291247
10X,32241E
10E,54XE45
110,37091
111,48EE75
112,56X0E
113,50667
114,4541
115,72X05
116,26E091
117,915525
118,1X7761
119,108E77
11X,1E663E
11E,98677
120,18741
121,E1015
122,127391
123,127E47
124,42201
125,283795
126,71961
127,17X977
128,272001
129,17X7E7
12X,XX61E
12E,423865
130,55X01
131,4E857
132,382X1
133,584E7
134,5X721
135,67017
136,6E8E1
137,600X7
138,386761
139,1104X7
13X,38E7E
13E,897705
140,X541
141,391E05
142,223E11
143,362297
144,X62E1
145,13XX17
146,19101
147,1200875
148,39X01
149,785E07
14X,19074E
14E,57E637
150,28421
151,169787
152,1010EE
153,11X617
154,101X801
155,27257
156,281891
157,84165
158,28E7E1
159,512X97
15X,18243E
15E,15X605
160,4901
161,6X3675
162,93477E
163,39X67
164,153941
165,543247
166,86941
167,335127
168,632741
169,89EX7
16X,2X581E
16E,196005
170,192E1
171,1372005
172,52E5E
173,425057
174,4E9901
175,1043X5
176,33X691
177,6960E5
178,1081391
179,199E67
17X,13114E
17E,X48625
180,34841
181,57X267
182,12596E
183,34277
184,582X11
185,3720X7
186,21XE1
187,17E2295
188,1E51X1
189,128107
18X,X07E1
18E,238077
190,44431
191,50747
192,X425E
193,266X37
194,119401
195,293225
196,34391
197,62787
198,125951
199,9EX9X7
19X,10X7E
19E,33E895
1X0,63761
1X1,26X3065
1X2,1093E
1X3,1079127
1X4,X9991
1X5,1417X5
1X6,7231
1X7,4842E5
1X8,535841
1X9,657207
1XX,110041
1XE,197105
1E0,E411
1E1,1931517
1E2,448311
1E3,14EX8X7
1E4,10X121
1E5,799375
1E6,18X81
1E7,15EXX85
1E8,40991
1E9,334837
1EX,97160E
1EE,2221X47
200,437601
201,1X66297
202,6544E
203,19X87
204,31X891
205,823157
206,839941
207,1270X27
208,987X1
209,3671X7
20X,13755E
20E,1X2997
210,145281
211,901027
212,586E9E
213,483957
214,235X41
215,778825
216,285701
217,244067
218,3X7X31
219,2X09027
21X,1EX3X1
21E,1XXE405
220,17181
221,330075
222,43178E
223,E82677
224,339X11
225,75E947
226,E2861
227,1059847
228,191X81
229,X14917
22X,33192E
22E,368XE5
230,1X7X61
231,1479765
232,33X75E
233,320087
234,583521
235,2427915
236,267071
237,24425
238,8E951
239,219X7
23X,3831E
23E,304705
240,56841
241,2E2045
242,29884E
243,680X87
244,5X4121
245,62E0X5
246,192E01
247,223737
248,6X9221
249,3X0E317
24X,9X7X1E
24E,2172X7
250,221691
251,1003325
252,18X18E
253,7251X7
254,1EX9201
255,1316575
256,98441
257,1766147
258,E3E81
259,1X54507
25X,21X921
25E,5E4945
260,51X361
261,2600375
262,86X3E
263,931127
264,1120571
265,2X24155
266,562841
267,1448X45
268,X00081
269,545547
26X,X9E7E
26E,55X115
270,92531
271,2X2687
272,1092E
273,947167
274,18X3521
275,E37685
276,1E93X61
277,2000755
278,2990X1
279,49927
27X,E1E71
27E,20E7E5
280,202541
