1,5
2,5X
3,5EX
4,5EEX
5,5EEE8
6,5EEEE7
7,5EEEEE7
8,5EEEEEE6
9,5EEEEEEE6
X,5EEEEEEEE5
E,5EEEEEEEEE4
10,5EEEEEEEEEE7
11,5EEEEEEEEEEE5
12,5EEEEEEEEEEEE2
13,5EEEEEEEEEEEEE0
14,5EEEEEEEEEEEEEE0
15,5EEEEEEEEEEEEEEE1
16,5EEEEEEEEEEEEEEEE3
17,5EEEEEEEEEEEEEEEEXE
18,5EEEEEEEEEEEEEEEEEXX
19,5EEEEEEEEEEEEEEEEEEXE
1X,5EEEEEEEEEEEEEEEEEEEX9
1E,5EEEEEEEEEEEEEEEEEEEEXE
20,5EEEEEEEEEEEEEEEEEEEEEXE
21,5EEEEEEEEEEEEEEEEEEEEEEX5
22,5EEEEEEEEEEEEEEEEEEEEEEEX5
23,5EEEEEEEEEEEEEEEEEEEEEEEEX9
24,5EEEEEEEEEEEEEEEEEEEEEEEEEX4
25,5EEEEEEEEEEEEEEEEEEEEEEEEEEX5
26,5EEEEEEEEEEEEEEEEEEEEEEEEEEEX1
27,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEX5
28,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEX0
29,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEX3
2X,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEX3
2E,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEX0
30,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEX3
31,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEX2
32,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEX1
33,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE9E
34,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE96
35,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE97
36,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE95
37,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE97
38,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE9X
39,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE96
3X,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE94
3E,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE92
40,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE94
41,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE89
42,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE95
43,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE90
44,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE93
45,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE87
46,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE93
47,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE99
48,5EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE96
