2,5751053
3,23450659494
4,1394EX50115227
5,E73320X52011660
6,1099345EEEEEEEEEE7
7,1248541008E84049480
8,4E161183966171E56699
9,52503E796X85EE87873X8
X,5526313X681X1871E45E09
E,194E074X4481681E631E100
10,5EEEEEEEEEEEEEEEEEEEEEXE
11,69E2853831E59490898E8720
12,68X4431623XX637099E94E087
13,44E336848E92663062779896X0
14,1891X3E051667038427107E7313
15,1X2X5813338218E035392146160
16,2528640575X776182EEEEEEEEEE9
17,1E93549E0150262153X16676E180
18,2664877231493932250190E58E305
19,55792X63319169E07E0E8856E3767
1X,X036730592124XXX22X1499600299
1E,112XE097969034265473E7852E0200
20,1X584193EEEEEEEEEEEEEEEEEEEEEE6
21,1X54949403527416XX241E4E8917660
22,32444X295E9E5XX996133366X933383
23,13998X722X3494416179992255876771
24,31X4175648E0285E39E5XE9048612743
25,16X02247962884E072154295804E6860
26,2095481838499968X99182EEEEEEEEEXE
27,7315496E4760X591X9EE508696X28280
28,793E24558637705336862757096140583
29,817E020X8EX1642251960E1E9E479E762
2X,X4E57146995859406851058332E392990
2E,47817263800921094EX6EX204569E2X4E3
30,1182632X8482EEEEEEEEEEEEEEEEEEEEEE5
31,2E2711311493924039563E6E98004E5920
32,E16E230765843322272659314E58244341
33,2718X663457858627X46X971E33X3665E32
34,1236779EX41405484X436321E875XX954701
35,2704269485065E086E347X3150019433360
36,268X25EX918911E1999779115EEEEEEEEEE0
37,7882898E25944E1X22146691E6301110780
38,483X990016X86830885X017882X625499697
39,18158X4561E8XE636X258E55X0X40X7456235
3X,624X40X9184341E2654917XX642X19E97E99
3E,4E7600005550938XE95196E15946X39X8400
40,7X85E26068713EEEEEEEEEEEEEEEEEEEEEEE8
41,43947911XE2EX79175X891E172X80385X1480
42,X617X8E766909EX5462357910506117574364
43,85538E0206863984765X71X8EE1144884696X
44,15E67886X4127232624470120404E8150890EE
45,666X63XX0X8E310954EX6X083230906887X60
46,74X5X0878520359578X023X9115EEEEEEEEEEX
47,6X9E374322E19578E103869X490X8062269365
48,15889806097E512X6196E41142908287E9021E8
49,905385X67358886E732418609875548E489E5E
4X,899X9X7709140457X789720866851E09X680EE
4E,6500153599X20529XX49863XX5868071EE3500
50,E73320X520116602EEEEEEEEEEEEEEEEEEEEEX9
51,1198031E5376X3E36X602633325792027E38320
52,349603479EE4611353846519X3X966170329X33
53,20E53E5X821335XXX15901X868X23694204E1461
54,304E922X99167X00X4155E72923EE81081717E4X
55,224E93183407301464E8445E2789231592125136
56,3988729E895836308X1269584608124972497240
57,9E33525966250E10453X731E835184X01257580
58,4X60E9781285EX7560283259638701622918418E
59,504X284X3436X7935554X903970E40117X18575E
