1,2,
2,3,1
3,7,1
4,5,1
5,17,4
6,7,1
7,25,1
8,15,1
9,17,1
X,17,9
E,37,X
10,11,1
11,87,10
12,25,1
13,27,1
14,35,9
15,87,1
16,17,1
17,13E,1
18,35,1
19,57,4
1X,37,19
1E,E5,1X
20,61,1
21,105,20
22,87,21
23,91,1
24,6E,23
25,225,23
26,27,1
27,21E,1
28,81,1
29,131,14
2X,87,1
2E,13E,14
30,5E,2E
31,307,28
32,13E,1
33,175,32
34,75,9
35,277,X
36,57,21
37,327,29
38,95,21
39,131,1
3X,E5,39
3E,687,23
40,81,1
41,431,21
42,105,41
43,145,38
44,131,21
45,427,20
46,91,1
47,237,1
48,175,9
49,301,2X
4X,225,23
4E,4E1,1
50,91,41
51,745,20
52,21E,1
53,271,4X
54,221,49
55,285,54
56,131,41
57,705,8
58,285,41
59,33E,55
5X,13E,43
5E,591,40
60,141,41
61,711,60
62,307,59
63,205,58
64,271,59
65,447,13
66,175,65
67,91E,47
68,315,41
69,45E,68
6X,277,43
6E,841,33
70,241,1
71,711,1
72,327,29
73,497,6X
74,291,39
75,X45,59
76,131,1
77,737,42
78,401,21
79,4X5,42
7X,687,23
7E,77E,4X
80,221,21
81,X4E,38
82,431,21
83,457,41
84,347,73
85,12X7,1X
86,145,7E
87,1185,14
88,421,69
89,2XE,88
8X,427,65
8E,150E,89
90,21E,7E
91,1425,38
92,237,1
93,771,7X
94,377,63
95,1337,48
96,301,77
97,X27,77
98,615,59
99,965,72
9X,4E1,1
9E,1135,9
X0,2X1,41
X1,109E,28
X2,745,71
X3,617,1X
X4,437,X3
X5,E31,X1
X6,271,X1
X7,2181,12
X8,5E1,71
X9,11X1,4X
XX,285,X9
XE,1955,64
E0,291,1
E1,1471,X8
E2,705,63
E3,751,X4
E4,X37,X3
E5,232E,73
E6,33E,55
E7,1825,X9
E8,455,69
E9,X87,E1
EX,591,9E
EE,156E,84
100,397,97
101,138E,78
102,711,101
103,91E,EE
104,69E,7E
105,1EE5,1X
106,205,EE
107,2745,E6
108,661,21
109,X37,8X
10X,447,13
10E,107E,9X
110,481,41
111,206E,71
112,91E,47
113,1X11,1
114,701,41
115,1655,69
116,45E,115
117,26XE,42
118,7X1,101
119,8E5,E2
11X,841,33
11E,232E,6X
120,34E,10E
121,2115,58
122,711,1
123,1391,3X
124,E11,41
125,2941,XX
126,497,121
127,1391,121
128,13E5,9
129,150E,112
12X,X45,59
12E,239E,59
130,471,X1
131,293E,79
132,737,E9
133,2047,2X
