1,0
2,1
3,2
4,3
5,2
6,5
7,3
9,2
X,7
E,2
11,2
12,3
13,2
15,3
16,E
17,2
19,2
1X,11
1E,5
21,2
22,13
23,2
25,2
26,15
27,3
29,5
2X,3
2E,2
31,2
32,19
33,7
35,6
36,1E
37,3
39,2
3X,5
3E,5
41,3
42,23
43,2
45,2
46,25
47,3
49,5
4X,27
4E,2
51,2
52,3
53,5
55,3
56,5
57,2
59,2
5X,31
5E,7
61,5
62,33
63,2
65,2
66,7
67,3
69,2
6X,3E
6E,2
71,2
72,3
73,5
75,3
76,3E
77,2
79,2
7X,5
7E,7
81,5
82,3
83,2
85,2
86,45
87,5
89,E
8X,47
8E,2
91,6
92,3
93,E
95,3
96,5
97,2
99,2
9X,51
9E,E
X1,2
X2,53
X3,2
X5,2
X6,5
X7,3
X9,7
XX,3
XE,2
E1,2
E2,59
E3,7
E5,3
E6,5E
E7,2
E9,2
EX,7
EE,5
101,7
102,5
103,2
105,2
106,65
107,6
109,5
10X,67
10E,2
111,5
112,3
113,E
115,3
116,6E
117,2
119,2
11X,71
11E,5
121,2
122,73
123,2
125,2
126,5
127,3
129,5
12X,3
12E,2
131,2
132,79
133,5
135,3
136,7E
137,2
139,2
13X,7
13E,17
141,5
142,5
143,2
145,2
146,85
147,3
149,7
14X,87
14E,2
151,2
152,5
153,5
155,3
156,E
157,2
159,2
15X,91
15E,11
161,X
162,97
163,2
165,2
166,E
167,3
169,2
16X,3
16E,2
171,6
172,99
173,15
175,3
176,9E
177,2
179,2
17X,E
17E,7
181,7
182,X3
183,2
185,2
186,X5
187,3
189,E
18X,X7
18E,6
191,2
192,3
193,11
195,3
196,7
197,2
199,2
19X,E1
19E,5
1X1,7
1X2,E3
1X3,2
1X5,2
1X6,7
1X7,6
1X9,5
1XX,3
1XE,2
1E1,5
1E2,E9
1E3,E
1E5,3
1E6,EE
1E7,3
1E9,2
1EX,5
1EE,5
201,3
202,7
203,2
205,2
206,105
207,3
209,5
20X,107
20E,2
211,2
212,111
213,5
215,3
216,5
217,5
219,2
21X,111
21E,15
221,X
222,5
223,2
225,2
226,E
227,3
229,7
22X,3
22E,2
231,2
232,119
233,5
235,3
236,11E
237,3
239,2
23X,5
23E,E
241,X
242,123
243,2
245,3
246,125
247,3
249,11
24X,127
24E,2
251,2
252,3
253,7
255,3
256,5
257,2
259,2
25X,131
25E,7
261,2
262,133
263,2
265,2
266,5
267,6
269,7
26X,3
26E,2
271,2
272,139
273,7
275,3
276,13E
277,2
279,2
27X,17
27E,5
281,11
282,5
283,2
285,2
286,145
287,3
289,5
28X,147
28E,2
291,5
292,3
293,E
295,3
296,7
297,2
299,2
29X,151
29E,5
2X1,19
2X2,153
2X3,2
2X5,2
2X6,5
2X7,3
2X9,5
2XX,3
2XE,2
2E1,2
2E2,159
2E3,5
2E5,3
2E6,15E
2E7,2
2E9,2
2EX,11
2EE,7
301,5
302,16E
303,2
305,2
306,165
307,13
309,2
30X,167
30E,2
311,2
312,3
313,5
315,3
316,16E
317,2
319,2
31X,171
31E,E
321,11
322,177
323,2
325,2
326,15
327,3
329,7
32X,3
32E,2
331,2
332,179
333,7
335,3
336,17E
337,2
339,2
33X,7
33E,11
341,7
342,7
343,2
345,2
346,185
347,3
349,7
34X,187
34E,2
351,2
352,3
353,17
355,3
356,E
357,7
